,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
ECG5000,50words,WordsSynonyms,Phoneme,FacesUCR,FaceAll,ShapesAll,MALLAT,MedicalImages,InsectWingbeatSound,Beef,Cricket_X,Lighting7,Cricket_Y,ProximalPhalanxTW,uWaveGestureLibrary_Y,OliveOil,MiddlePhalanxTW,Meat,Cricket_Z,uWaveGestureLibrary_X,ArrowHead,DistalPhalanxTW,UWaveGestureLibraryAll,Worms,ElectricDevices,uWaveGestureLibrary_Z,Haptics,InlineSkate,synthetic_control,CBF,WormsTwoClass,Wine,Coffee,ProximalPhalanxOutlineAgeGroup,Strawberry,HandOutlines,ChlorineConcentration,CinC_ECG_torso,Gun_Point,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Lighting2,MiddlePhalanxOutlineCorrect,ScreenType,Adiac,Ham,wafer,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Two_Patterns,Symbols,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,SmallKitchenAppliances,Trace,ItalyPowerDemand,ECGFiveDays,MoteStrain,FordA,Earthquakes,ToeSegmentation1,SonyAIBORobotSurface,FordB,TwoLeadECG,ECG200,OSULeaf,ToeSegmentation2,SwedishLeaf,ShapeletSim,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring
ECGFiveDays,50words,Phoneme,ShapesAll,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,MedicalImages,Cricket_Y,Cricket_Z,Lighting7,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,MiddlePhalanxTW,UWaveGestureLibraryAll,InlineSkate,ProximalPhalanxTW,MALLAT,uWaveGestureLibrary_Y,ElectricDevices,DistalPhalanxTW,FacesUCR,Adiac,synthetic_control,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Worms,Trace,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CinC_ECG_torso,CBF,Symbols,OliveOil,Two_Patterns,LargeKitchenAppliances,ECG5000,Ham,MiddlePhalanxOutlineCorrect,ScreenType,DistalPhalanxOutlineCorrect,Lighting2,SonyAIBORobotSurfaceII,SonyAIBORobotSurface,RefrigerationDevices,PhalangesOutlinesCorrect,SmallKitchenAppliances,Computers,ProximalPhalanxOutlineCorrect,ECG200,MoteStrain,FordB,TwoLeadECG,ItalyPowerDemand,FordA,OSULeaf,Gun_Point,ToeSegmentation1,Earthquakes,Strawberry,ShapeletSim,Meat,ToeSegmentation2,SwedishLeaf,WormsTwoClass,wafer,BeetleFly,Beef,BirdChicken,yoga,Car,DiatomSizeReduction,ArrowHead,Plane,Coffee,Wine,FISH,HandOutlines,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring
Earthquakes,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Phoneme,Adiac,50words,Cricket_Z,Cricket_Y,Cricket_X,uWaveGestureLibrary_Z,WordsSynonyms,UWaveGestureLibraryAll,SwedishLeaf,Plane,uWaveGestureLibrary_X,ElectricDevices,uWaveGestureLibrary_Y,FaceAll,InlineSkate,synthetic_control,Trace,InsectWingbeatSound,FacesUCR,OSULeaf,FaceFour,Worms,Two_Patterns,MedicalImages,DistalPhalanxTW,SmallKitchenAppliances,CinC_ECG_torso,Symbols,Car,Lighting7,MALLAT,LargeKitchenAppliances,yoga,SonyAIBORobotSurface,ProximalPhalanxTW,ECG200,DiatomSizeReduction,ShapeletSim,ToeSegmentation1,ToeSegmentation2,FordB,TwoLeadECG,MiddlePhalanxTW,ScreenType,MoteStrain,FordA,ECG5000,RefrigerationDevices,SonyAIBORobotSurfaceII,FISH,ECGFiveDays,DistalPhalanxOutlineAgeGroup,wafer,ItalyPowerDemand,OliveOil,ChlorineConcentration,Computers,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,PhalangesOutlinesCorrect,Lighting2,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Ham,Beef,Gun_Point,Haptics,Meat,Strawberry,WormsTwoClass,ArrowHead,Coffee,Wine,HandOutlines,ShapesAll,BeetleFly,BirdChicken
ElectricDevices,ShapesAll,50words,Phoneme,Adiac,WordsSynonyms,InsectWingbeatSound,Cricket_X,Cricket_Y,FaceAll,Cricket_Z,MedicalImages,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_X,InlineSkate,Lighting7,uWaveGestureLibrary_Y,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxTW,MALLAT,FacesUCR,SwedishLeaf,Two_Patterns,synthetic_control,Symbols,Worms,Trace,CinC_ECG_torso,MiddlePhalanxOutlineAgeGroup,OSULeaf,ChlorineConcentration,ScreenType,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,SmallKitchenAppliances,CBF,ECG5000,LargeKitchenAppliances,OliveOil,FordB,TwoLeadECG,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,ItalyPowerDemand,RefrigerationDevices,Ham,MiddlePhalanxOutlineCorrect,MoteStrain,Car,ECGFiveDays,Computers,FordA,Lighting2,FISH,DiatomSizeReduction,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ShapeletSim,ToeSegmentation2,Earthquakes,ToeSegmentation1,yoga,Gun_Point,BeetleFly,BirdChicken,wafer,Plane,Strawberry,Beef,Meat,WormsTwoClass,Herring,ArrowHead,Haptics,Coffee,Wine,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour,HandOutlines
FISH,ShapesAll,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Adiac,Phoneme,Cricket_Z,Cricket_Y,SwedishLeaf,Plane,Cricket_X,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Trace,synthetic_control,uWaveGestureLibrary_Y,FaceFour,OSULeaf,ElectricDevices,uWaveGestureLibrary_X,InlineSkate,Worms,Car,Two_Patterns,yoga,Symbols,SmallKitchenAppliances,DiatomSizeReduction,ShapeletSim,InsectWingbeatSound,BirdChicken,SonyAIBORobotSurface,ECG200,FacesUCR,ToeSegmentation2,BeetleFly,ToeSegmentation1,CinC_ECG_torso,FaceAll,FordB,TwoLeadECG,DistalPhalanxTW,MoteStrain,wafer,SonyAIBORobotSurfaceII,LargeKitchenAppliances,FordA,MedicalImages,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,ScreenType,ECG5000,50words,MiddlePhalanxTW,ProximalPhalanxTW,Haptics,Lighting7,WordsSynonyms,DistalPhalanxOutlineAgeGroup,Computers,Herring,Earthquakes,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
FaceAll,50words,Phoneme,WordsSynonyms,ShapesAll,InsectWingbeatSound,MedicalImages,Cricket_X,Cricket_Y,Cricket_Z,MALLAT,uWaveGestureLibrary_X,Lighting7,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,uWaveGestureLibrary_Y,MiddlePhalanxTW,ElectricDevices,ProximalPhalanxTW,Adiac,DistalPhalanxTW,Beef,synthetic_control,OliveOil,Two_Patterns,CinC_ECG_torso,Worms,ChlorineConcentration,ECG5000,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Symbols,LargeKitchenAppliances,ScreenType,Meat,SmallKitchenAppliances,Trace,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ArrowHead,RefrigerationDevices,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Computers,FordA,ECGFiveDays,ItalyPowerDemand,Gun_Point,SonyAIBORobotSurfaceII,FordB,TwoLeadECG,WormsTwoClass,SonyAIBORobotSurface,ECG200,OSULeaf,MoteStrain,Strawberry,Coffee,SwedishLeaf,Wine,ToeSegmentation1,ToeSegmentation2,HandOutlines,Earthquakes,wafer,ShapeletSim,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring,FaceFour
FaceFour,ShapesAll,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Phoneme,FISH,Cricket_Z,OSULeaf,Cricket_Y,Symbols,DiatomSizeReduction,Car,Plane,Cricket_X,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,synthetic_control,uWaveGestureLibrary_Y,Herring,Trace,ElectricDevices,uWaveGestureLibrary_X,InlineSkate,BeetleFly,BirdChicken,Two_Patterns,Worms,yoga,RefrigerationDevices,InsectWingbeatSound,ShapeletSim,Earthquakes,SmallKitchenAppliances,FacesUCR,FaceAll,ToeSegmentation2,DistalPhalanxTW,CinC_ECG_torso,SonyAIBORobotSurface,Haptics,ECG200,ToeSegmentation1,FordB,TwoLeadECG,LargeKitchenAppliances,MoteStrain,wafer,MedicalImages,FordA,SonyAIBORobotSurfaceII,ScreenType,ECGFiveDays,ItalyPowerDemand,50words,MiddlePhalanxTW,ECG5000,ProximalPhalanxTW,Lighting7,WordsSynonyms,DistalPhalanxOutlineAgeGroup,Computers,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
FacesUCR,50words,ShapesAll,Phoneme,WordsSynonyms,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Adiac,InsectWingbeatSound,Cricket_X,MedicalImages,SwedishLeaf,MALLAT,Cricket_Y,Cricket_Z,Lighting7,uWaveGestureLibrary_X,ProximalPhalanxTW,MiddlePhalanxTW,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,ElectricDevices,DistalPhalanxTW,OliveOil,FISH,Symbols,Plane,synthetic_control,Worms,OSULeaf,ECG5000,CinC_ECG_torso,Beef,CBF,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Two_Patterns,DistalPhalanxOutlineAgeGroup,ScreenType,Strawberry,DiatomSizeReduction,RefrigerationDevices,FaceFour,Gun_Point,Car,Trace,LargeKitchenAppliances,ProximalPhalanxOutlineCorrect,ArrowHead,PhalangesOutlinesCorrect,Lighting2,MiddlePhalanxOutlineCorrect,Ham,SmallKitchenAppliances,Meat,DistalPhalanxOutlineCorrect,WormsTwoClass,wafer,Computers,HandOutlines,SonyAIBORobotSurfaceII,Earthquakes,ItalyPowerDemand,ECGFiveDays,FordA,MoteStrain,Wine,Coffee,FordB,SonyAIBORobotSurface,TwoLeadECG,ECG200,ToeSegmentation1,Herring,ToeSegmentation2,ShapeletSim,BeetleFly,yoga,BirdChicken,Haptics
FordA,50words,ShapesAll,Phoneme,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,MedicalImages,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,MiddlePhalanxTW,uWaveGestureLibrary_Z,ProximalPhalanxTW,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,MALLAT,ElectricDevices,InlineSkate,DistalPhalanxTW,FacesUCR,Adiac,synthetic_control,Trace,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Worms,ProximalPhalanxOutlineAgeGroup,ScreenType,DistalPhalanxOutlineAgeGroup,CBF,Symbols,CinC_ECG_torso,SonyAIBORobotSurfaceII,OliveOil,DistalPhalanxOutlineCorrect,Ham,SonyAIBORobotSurface,MiddlePhalanxOutlineCorrect,ECG5000,Computers,Lighting2,MoteStrain,ECG200,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,RefrigerationDevices,Two_Patterns,SmallKitchenAppliances,LargeKitchenAppliances,ItalyPowerDemand,OSULeaf,ECGFiveDays,TwoLeadECG,Gun_Point,Earthquakes,ToeSegmentation1,SwedishLeaf,Strawberry,BeetleFly,BirdChicken,Meat,wafer,ToeSegmentation2,WormsTwoClass,yoga,Beef,Car,DiatomSizeReduction,Plane,FISH,ArrowHead,Coffee,Wine,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring,FaceFour,HandOutlines,FordB
FordB,ShapesAll,50words,Phoneme,InsectWingbeatSound,WordsSynonyms,Cricket_X,FaceAll,Cricket_Y,Cricket_Z,MedicalImages,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,InlineSkate,ElectricDevices,MiddlePhalanxTW,Lighting7,DistalPhalanxTW,ProximalPhalanxTW,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Adiac,Trace,synthetic_control,MALLAT,FacesUCR,ScreenType,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,LargeKitchenAppliances,ProximalPhalanxOutlineAgeGroup,CinC_ECG_torso,Symbols,Worms,CBF,Computers,SmallKitchenAppliances,MoteStrain,SonyAIBORobotSurfaceII,ECG5000,DistalPhalanxOutlineCorrect,Ham,RefrigerationDevices,MiddlePhalanxOutlineCorrect,ToeSegmentation1,SonyAIBORobotSurface,OliveOil,ItalyPowerDemand,ECGFiveDays,Lighting2,Two_Patterns,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ECG200,Earthquakes,ToeSegmentation2,BeetleFly,SwedishLeaf,BirdChicken,OSULeaf,Gun_Point,yoga,wafer,Strawberry,Car,DiatomSizeReduction,WormsTwoClass,Meat,Plane,TwoLeadECG,FISH,Beef,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,ArrowHead,Coffee,Wine,FaceFour,HandOutlines,FordA
Gun_Point,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,InsectWingbeatSound,FacesUCR,MedicalImages,Cricket_X,Cricket_Y,uWaveGestureLibrary_X,Cricket_Z,Lighting7,MiddlePhalanxTW,uWaveGestureLibrary_Y,InlineSkate,DistalPhalanxTW,ProximalPhalanxTW,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,Adiac,Beef,ECG5000,synthetic_control,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,MALLAT,Meat,DistalPhalanxOutlineAgeGroup,ScreenType,CinC_ECG_torso,LargeKitchenAppliances,Two_Patterns,Symbols,CBF,Ham,ProximalPhalanxOutlineAgeGroup,WormsTwoClass,MiddlePhalanxOutlineCorrect,Worms,DistalPhalanxOutlineCorrect,Computers,ArrowHead,RefrigerationDevices,SmallKitchenAppliances,Lighting2,Trace,ECGFiveDays,ItalyPowerDemand,SonyAIBORobotSurfaceII,PhalangesOutlinesCorrect,FordA,Strawberry,MoteStrain,Coffee,Wine,ToeSegmentation1,ProximalPhalanxOutlineCorrect,wafer,Earthquakes,FordB,TwoLeadECG,SonyAIBORobotSurface,SwedishLeaf,OSULeaf,ECG200,HandOutlines,ToeSegmentation2,ShapeletSim,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,OliveOil,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring
Ham,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,InsectWingbeatSound,FacesUCR,Cricket_Y,MALLAT,Cricket_X,uWaveGestureLibrary_X,InlineSkate,Cricket_Z,UWaveGestureLibraryAll,ElectricDevices,Lighting7,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,DistalPhalanxTW,MedicalImages,ProximalPhalanxTW,OliveOil,Adiac,CinC_ECG_torso,ScreenType,Worms,ECG5000,Two_Patterns,MiddlePhalanxTW,LargeKitchenAppliances,synthetic_control,Beef,DistalPhalanxOutlineAgeGroup,Symbols,CBF,PhalangesOutlinesCorrect,SmallKitchenAppliances,Gun_Point,ProximalPhalanxOutlineCorrect,ECGFiveDays,ProximalPhalanxOutlineAgeGroup,Meat,ItalyPowerDemand,Computers,Trace,Strawberry,FordA,RefrigerationDevices,Lighting2,MiddlePhalanxOutlineAgeGroup,ToeSegmentation1,TwoLeadECG,FordB,WormsTwoClass,MoteStrain,ECG200,SonyAIBORobotSurface,ArrowHead,DistalPhalanxOutlineCorrect,OSULeaf,ToeSegmentation2,wafer,MiddlePhalanxOutlineCorrect,SwedishLeaf,ChlorineConcentration,Coffee,SonyAIBORobotSurfaceII,Wine,ShapeletSim,Earthquakes,HandOutlines,Car,yoga,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring
HandOutlines,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,ShapesAll,MedicalImages,InsectWingbeatSound,Lighting7,Cricket_X,OliveOil,ProximalPhalanxTW,MiddlePhalanxTW,uWaveGestureLibrary_Y,Cricket_Y,Beef,DistalPhalanxTW,uWaveGestureLibrary_X,Meat,Cricket_Z,ECG5000,UWaveGestureLibraryAll,ElectricDevices,InlineSkate,CBF,Strawberry,uWaveGestureLibrary_Z,WormsTwoClass,ProximalPhalanxOutlineAgeGroup,synthetic_control,Gun_Point,CinC_ECG_torso,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,Worms,DistalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,ArrowHead,Lighting2,MiddlePhalanxOutlineCorrect,ScreenType,Ham,wafer,Coffee,Adiac,Wine,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,RefrigerationDevices,Symbols,Two_Patterns,Computers,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,SmallKitchenAppliances,MoteStrain,FordA,Trace,Earthquakes,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,SwedishLeaf,ShapeletSim,yoga,Car,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring
Haptics,50words,WordsSynonyms,Phoneme,FacesUCR,FaceAll,Beef,MALLAT,MedicalImages,ShapesAll,ArrowHead,Lighting7,ECG5000,Meat,InsectWingbeatSound,OliveOil,uWaveGestureLibrary_Y,Cricket_X,ProximalPhalanxTW,MiddlePhalanxTW,Wine,Coffee,HandOutlines,Cricket_Y,Worms,WormsTwoClass,DistalPhalanxTW,Strawberry,uWaveGestureLibrary_X,synthetic_control,Cricket_Z,CBF,Gun_Point,UWaveGestureLibraryAll,ProximalPhalanxOutlineAgeGroup,ElectricDevices,uWaveGestureLibrary_Z,CinC_ECG_torso,InlineSkate,ChlorineConcentration,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,wafer,DistalPhalanxOutlineAgeGroup,Lighting2,MiddlePhalanxOutlineCorrect,Ham,ScreenType,DistalPhalanxOutlineCorrect,RefrigerationDevices,Symbols,LargeKitchenAppliances,Adiac,Two_Patterns,Computers,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,SmallKitchenAppliances,NonInvasiveFatalECG_Thorax2,MoteStrain,Earthquakes,FordA,NonInvasiveFatalECG_Thorax1,Trace,ToeSegmentation1,SwedishLeaf,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,Plane,ShapeletSim,yoga,BeetleFly,FISH,BirdChicken,DiatomSizeReduction,Car,FaceFour
Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Phoneme,Adiac,Cricket_Z,Cricket_Y,Cricket_X,Plane,uWaveGestureLibrary_Z,SwedishLeaf,UWaveGestureLibraryAll,Trace,uWaveGestureLibrary_Y,synthetic_control,uWaveGestureLibrary_X,ElectricDevices,FaceFour,InlineSkate,OSULeaf,Worms,InsectWingbeatSound,Two_Patterns,SmallKitchenAppliances,FaceAll,Symbols,50words,yoga,Car,SonyAIBORobotSurface,DistalPhalanxTW,ECG200,CinC_ECG_torso,ShapeletSim,FacesUCR,FordB,TwoLeadECG,DiatomSizeReduction,MedicalImages,ToeSegmentation1,ToeSegmentation2,MoteStrain,LargeKitchenAppliances,WordsSynonyms,SonyAIBORobotSurfaceII,FordA,FISH,MiddlePhalanxTW,ScreenType,wafer,ProximalPhalanxTW,Lighting7,ECGFiveDays,ItalyPowerDemand,RefrigerationDevices,ECG5000,DistalPhalanxOutlineAgeGroup,Computers,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,Haptics,CBF,Ham,MALLAT,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,ShapesAll,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines,BirdChicken,BeetleFly
InlineSkate,50words,ShapesAll,Phoneme,WordsSynonyms,InsectWingbeatSound,Cricket_X,FaceAll,MedicalImages,Cricket_Y,Cricket_Z,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,UWaveGestureLibraryAll,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,MALLAT,uWaveGestureLibrary_Y,ElectricDevices,FacesUCR,DistalPhalanxTW,Adiac,synthetic_control,Two_Patterns,Worms,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Trace,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Symbols,CinC_ECG_torso,CBF,ScreenType,OliveOil,ECG5000,SmallKitchenAppliances,Ham,MiddlePhalanxOutlineCorrect,Lighting2,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,SonyAIBORobotSurface,ECG200,LargeKitchenAppliances,ProximalPhalanxOutlineCorrect,FordB,ItalyPowerDemand,TwoLeadECG,Computers,RefrigerationDevices,MoteStrain,ECGFiveDays,FordA,OSULeaf,Gun_Point,ToeSegmentation1,Earthquakes,ShapeletSim,SwedishLeaf,ToeSegmentation2,Strawberry,wafer,Meat,yoga,Beef,BeetleFly,BirdChicken,WormsTwoClass,Car,DiatomSizeReduction,Plane,ArrowHead,Coffee,Wine,FISH,NonInvasiveFatalECG_Thorax2,Haptics,HandOutlines,NonInvasiveFatalECG_Thorax1,Herring
InsectWingbeatSound,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,FacesUCR,MALLAT,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,uWaveGestureLibrary_X,ElectricDevices,Lighting7,uWaveGestureLibrary_Y,DistalPhalanxTW,ProximalPhalanxTW,MiddlePhalanxTW,Adiac,Two_Patterns,CinC_ECG_torso,OliveOil,Worms,synthetic_control,LargeKitchenAppliances,ECG5000,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,SmallKitchenAppliances,Symbols,CBF,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,ScreenType,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Lighting2,FordA,RefrigerationDevices,Trace,Gun_Point,Beef,ECGFiveDays,TwoLeadECG,FordB,MiddlePhalanxOutlineCorrect,Meat,ItalyPowerDemand,Ham,Strawberry,DistalPhalanxOutlineCorrect,ECG200,SonyAIBORobotSurface,Computers,WormsTwoClass,ToeSegmentation2,ToeSegmentation1,SonyAIBORobotSurfaceII,OSULeaf,MoteStrain,wafer,SwedishLeaf,ArrowHead,ShapeletSim,Coffee,Wine,Earthquakes,yoga,Car,BeetleFly,BirdChicken,HandOutlines,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring
ItalyPowerDemand,50words,Phoneme,ShapesAll,WordsSynonyms,FaceAll,Cricket_X,InsectWingbeatSound,MedicalImages,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,uWaveGestureLibrary_Z,InlineSkate,MiddlePhalanxTW,uWaveGestureLibrary_Y,ElectricDevices,UWaveGestureLibraryAll,MALLAT,ProximalPhalanxTW,FacesUCR,DistalPhalanxTW,Adiac,synthetic_control,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,Trace,Worms,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Symbols,OliveOil,LargeKitchenAppliances,ScreenType,Two_Patterns,ECG5000,Ham,MiddlePhalanxOutlineCorrect,Lighting2,SonyAIBORobotSurfaceII,RefrigerationDevices,DistalPhalanxOutlineCorrect,SmallKitchenAppliances,PhalangesOutlinesCorrect,SonyAIBORobotSurface,Computers,ProximalPhalanxOutlineCorrect,ECG200,MoteStrain,FordB,TwoLeadECG,FordA,ECGFiveDays,Gun_Point,ToeSegmentation1,OSULeaf,Earthquakes,Meat,Strawberry,ShapeletSim,ToeSegmentation2,SwedishLeaf,WormsTwoClass,Beef,wafer,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,ArrowHead,Plane,Coffee,Wine,FISH,HandOutlines,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring
