,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,MALLAT,FacesUCR,FaceAll,Phoneme,OliveOil,ShapesAll,Lighting7,Gun_Point,ProximalPhalanxTW,MedicalImages,ProximalPhalanxOutlineCorrect,Meat,Strawberry,PhalangesOutlinesCorrect,Worms,ProximalPhalanxOutlineAgeGroup,Cricket_X,CBF,uWaveGestureLibrary_Z,CinC_ECG_torso,Cricket_Z,MiddlePhalanxTW,Lighting2,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,ElectricDevices,InsectWingbeatSound,WormsTwoClass,DistalPhalanxTW,uWaveGestureLibrary_X,synthetic_control,ECG5000,MiddlePhalanxOutlineCorrect,wafer,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Cricket_Y,Ham,RefrigerationDevices,Beef,DistalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,ArrowHead,Earthquakes,Symbols,Computers,Coffee,InlineSkate,Wine,ScreenType,MoteStrain,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,FordA,SmallKitchenAppliances,Two_Patterns,ToeSegmentation2,HandOutlines,TwoLeadECG,FordB,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,yoga,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
Adiac,ShapesAll,Car,OSULeaf,Phoneme,SwedishLeaf,Haptics,BirdChicken,FISH,DiatomSizeReduction,BeetleFly,RefrigerationDevices,Symbols,Herring,synthetic_control,ShapeletSim,Earthquakes,Plane,yoga,Cricket_Z,ToeSegmentation2,wafer,NonInvasiveFatalECG_Thorax2,ToeSegmentation1,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_X,Trace,Cricket_Y,FacesUCR,uWaveGestureLibrary_X,FaceFour,Worms,uWaveGestureLibrary_Z,SmallKitchenAppliances,MoteStrain,NonInvasiveFatalECG_Thorax1,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,InlineSkate,CinC_ECG_torso,Two_Patterns,FordB,TwoLeadECG,FordA,ItalyPowerDemand,ECGFiveDays,InsectWingbeatSound,DistalPhalanxTW,LargeKitchenAppliances,ECG5000,FaceAll,DistalPhalanxOutlineAgeGroup,50words,ScreenType,MedicalImages,Computers,WordsSynonyms,ProximalPhalanxTW,Lighting7,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Ham,ChlorineConcentration,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,Coffee,Wine,FacesUCR,Phoneme,50words,WordsSynonyms,ECG5000,Meat,HandOutlines,MedicalImages,uWaveGestureLibrary_Y,WormsTwoClass,synthetic_control,Worms,FaceAll,Strawberry,Lighting7,MALLAT,OliveOil,Cricket_Y,ProximalPhalanxTW,Gun_Point,ShapesAll,MiddlePhalanxTW,DistalPhalanxTW,CBF,ProximalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,CinC_ECG_torso,Cricket_X,Lighting2,Cricket_Z,InsectWingbeatSound,uWaveGestureLibrary_X,MiddlePhalanxOutlineCorrect,UWaveGestureLibraryAll,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ElectricDevices,uWaveGestureLibrary_Z,Ham,DistalPhalanxOutlineCorrect,RefrigerationDevices,wafer,Computers,InlineSkate,ScreenType,Symbols,ItalyPowerDemand,SonyAIBORobotSurfaceII,ECGFiveDays,LargeKitchenAppliances,FordA,MoteStrain,SmallKitchenAppliances,Two_Patterns,TwoLeadECG,FordB,ToeSegmentation1,ECG200,Earthquakes,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,Trace,ShapeletSim,Adiac,BeetleFly,BirdChicken,yoga,SwedishLeaf,DiatomSizeReduction,Car,Plane,FISH,Herring,Haptics,NonInvasiveFatalECG_Thorax2,FaceFour
Beef,ArrowHead,FacesUCR,Coffee,Wine,Phoneme,50words,WordsSynonyms,Meat,ECG5000,HandOutlines,uWaveGestureLibrary_Y,WormsTwoClass,MedicalImages,FaceAll,Strawberry,MALLAT,Worms,Lighting7,synthetic_control,OliveOil,Gun_Point,ShapesAll,ProximalPhalanxTW,ProximalPhalanxOutlineCorrect,CBF,MiddlePhalanxTW,PhalangesOutlinesCorrect,Cricket_X,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,Lighting2,Cricket_Y,Cricket_Z,ChlorineConcentration,InsectWingbeatSound,uWaveGestureLibrary_X,MiddlePhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Ham,CinC_ECG_torso,DistalPhalanxOutlineCorrect,UWaveGestureLibraryAll,ElectricDevices,uWaveGestureLibrary_Z,RefrigerationDevices,Computers,ScreenType,InlineSkate,Symbols,LargeKitchenAppliances,ItalyPowerDemand,ECGFiveDays,FordA,SmallKitchenAppliances,Two_Patterns,SonyAIBORobotSurfaceII,TwoLeadECG,FordB,wafer,MoteStrain,ECG200,SonyAIBORobotSurface,ToeSegmentation1,Trace,ToeSegmentation2,OSULeaf,Earthquakes,ShapeletSim,Adiac,yoga,BirdChicken,BeetleFly,SwedishLeaf,DiatomSizeReduction,Car,FISH,Herring,Plane,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
BeetleFly,Adiac,Phoneme,FISH,SwedishLeaf,OSULeaf,Trace,RefrigerationDevices,DiatomSizeReduction,Cricket_X,Cricket_Z,Cricket_Y,Car,Symbols,Haptics,uWaveGestureLibrary_Y,synthetic_control,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,ShapeletSim,Worms,Plane,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,ElectricDevices,ToeSegmentation2,yoga,wafer,Two_Patterns,SmallKitchenAppliances,FaceFour,ToeSegmentation1,SonyAIBORobotSurface,InlineSkate,ECG200,FacesUCR,LargeKitchenAppliances,CinC_ECG_torso,DistalPhalanxTW,MoteStrain,FaceAll,NonInvasiveFatalECG_Thorax1,InsectWingbeatSound,ScreenType,MiddlePhalanxTW,ProximalPhalanxTW,FordB,MedicalImages,SonyAIBORobotSurfaceII,TwoLeadECG,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,Lighting7,DistalPhalanxOutlineAgeGroup,WordsSynonyms,50words,FordA,MALLAT,ProximalPhalanxOutlineAgeGroup,OliveOil,CBF,ItalyPowerDemand,ECGFiveDays,ECG5000,Computers,Meat,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Ham,Lighting2,ProximalPhalanxOutlineCorrect,Beef,PhalangesOutlinesCorrect,Gun_Point,ArrowHead,Strawberry,WormsTwoClass,Coffee,Wine,HandOutlines,ShapesAll,BirdChicken,Herring
BirdChicken,uWaveGestureLibrary_X,Adiac,Cricket_Z,synthetic_control,FacesUCR,Phoneme,Cricket_X,uWaveGestureLibrary_Y,Worms,Trace,Car,SmallKitchenAppliances,MoteStrain,Cricket_Y,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,ShapeletSim,ElectricDevices,OSULeaf,SwedishLeaf,ToeSegmentation1,DiatomSizeReduction,FISH,wafer,SonyAIBORobotSurfaceII,yoga,Symbols,ECG200,ToeSegmentation2,SonyAIBORobotSurface,Plane,InlineSkate,CinC_ECG_torso,TwoLeadECG,FordB,Two_Patterns,FordA,ItalyPowerDemand,ECGFiveDays,Haptics,ECG5000,LargeKitchenAppliances,DistalPhalanxTW,RefrigerationDevices,FaceAll,InsectWingbeatSound,DistalPhalanxOutlineAgeGroup,Computers,ScreenType,Lighting7,ProximalPhalanxTW,FaceFour,DistalPhalanxOutlineCorrect,MiddlePhalanxTW,MedicalImages,ProximalPhalanxOutlineAgeGroup,CBF,NonInvasiveFatalECG_Thorax2,MiddlePhalanxOutlineAgeGroup,NonInvasiveFatalECG_Thorax1,MiddlePhalanxOutlineCorrect,Ham,ChlorineConcentration,Lighting2,50words,WordsSynonyms,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MALLAT,Gun_Point,OliveOil,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines,ShapesAll,BeetleFly,Herring
CBF,50words,InsectWingbeatSound,Lighting7,MedicalImages,MiddlePhalanxOutlineAgeGroup,WordsSynonyms,ProximalPhalanxTW,Cricket_X,MiddlePhalanxTW,Phoneme,ChlorineConcentration,FaceAll,OliveOil,DistalPhalanxTW,MALLAT,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,ShapesAll,Ham,MiddlePhalanxOutlineCorrect,uWaveGestureLibrary_X,DistalPhalanxOutlineCorrect,Lighting2,Cricket_Z,uWaveGestureLibrary_Y,Computers,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,InlineSkate,FacesUCR,Symbols,ElectricDevices,Gun_Point,UWaveGestureLibraryAll,ECG5000,Cricket_Y,synthetic_control,ItalyPowerDemand,uWaveGestureLibrary_Z,CinC_ECG_torso,ECGFiveDays,LargeKitchenAppliances,Strawberry,SonyAIBORobotSurfaceII,Worms,FordA,MoteStrain,SmallKitchenAppliances,WormsTwoClass,TwoLeadECG,FordB,Meat,ToeSegmentation1,ECG200,Earthquakes,Beef,SonyAIBORobotSurface,ToeSegmentation2,wafer,OSULeaf,ArrowHead,Trace,Coffee,Wine,ShapeletSim,Adiac,BeetleFly,BirdChicken,HandOutlines,yoga,DiatomSizeReduction,Car,Plane,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1,Haptics,Two_Patterns
Car,Adiac,ShapesAll,Phoneme,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Symbols,Herring,synthetic_control,yoga,BirdChicken,Cricket_Z,BeetleFly,Plane,ShapeletSim,Cricket_X,uWaveGestureLibrary_Y,Trace,Cricket_Y,FaceFour,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,ElectricDevices,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,Worms,RefrigerationDevices,NonInvasiveFatalECG_Thorax1,ToeSegmentation2,SmallKitchenAppliances,SonyAIBORobotSurface,ToeSegmentation1,FacesUCR,Earthquakes,ECG200,Two_Patterns,InlineSkate,CinC_ECG_torso,FordB,TwoLeadECG,MoteStrain,LargeKitchenAppliances,DistalPhalanxTW,FordA,FaceAll,InsectWingbeatSound,SonyAIBORobotSurfaceII,ScreenType,ECG5000,wafer,ECGFiveDays,ItalyPowerDemand,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,MedicalImages,Lighting7,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,WordsSynonyms,50words,DistalPhalanxOutlineCorrect,Ham,MALLAT,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,MedicalImages,MiddlePhalanxTW,50words,Ham,MiddlePhalanxOutlineAgeGroup,Cricket_X,ProximalPhalanxTW,Lighting7,WordsSynonyms,Lighting2,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Phoneme,DistalPhalanxOutlineAgeGroup,InsectWingbeatSound,Cricket_Z,ShapesAll,FaceAll,uWaveGestureLibrary_X,DistalPhalanxTW,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,RefrigerationDevices,uWaveGestureLibrary_Y,ElectricDevices,Computers,MALLAT,UWaveGestureLibraryAll,FacesUCR,InlineSkate,ScreenType,synthetic_control,Symbols,ECG5000,Gun_Point,OliveOil,uWaveGestureLibrary_Z,Cricket_Y,ItalyPowerDemand,CinC_ECG_torso,SonyAIBORobotSurfaceII,ECGFiveDays,Worms,LargeKitchenAppliances,Strawberry,FordA,MoteStrain,SmallKitchenAppliances,Two_Patterns,WormsTwoClass,TwoLeadECG,FordB,ToeSegmentation1,Meat,ECG200,wafer,Earthquakes,SonyAIBORobotSurface,ToeSegmentation2,Beef,OSULeaf,ArrowHead,Coffee,Wine,Trace,ShapeletSim,HandOutlines,Adiac,BeetleFly,BirdChicken,yoga,SwedishLeaf,DiatomSizeReduction,Car,Plane,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
CinC_ECG_torso,50words,Phoneme,InlineSkate,Cricket_Y,ElectricDevices,MALLAT,uWaveGestureLibrary_X,FaceAll,WordsSynonyms,LargeKitchenAppliances,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,DistalPhalanxTW,Two_Patterns,ShapesAll,Cricket_Z,Cricket_X,InsectWingbeatSound,uWaveGestureLibrary_Y,SmallKitchenAppliances,ScreenType,Symbols,ProximalPhalanxTW,Lighting7,FacesUCR,MedicalImages,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Worms,ECG5000,FordA,ECGFiveDays,ItalyPowerDemand,TwoLeadECG,FordB,Computers,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,OliveOil,RefrigerationDevices,DistalPhalanxOutlineCorrect,synthetic_control,Ham,SonyAIBORobotSurface,ECG200,MiddlePhalanxOutlineCorrect,Trace,Lighting2,SonyAIBORobotSurfaceII,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,MoteStrain,Strawberry,ToeSegmentation1,OSULeaf,ToeSegmentation2,Meat,WormsTwoClass,Adiac,wafer,Beef,SwedishLeaf,ShapeletSim,yoga,DiatomSizeReduction,Car,ArrowHead,Earthquakes,BirdChicken,BeetleFly,FISH,Coffee,Wine,Plane,HandOutlines,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
