,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
ToeSegmentation1,Phoneme,ElectricDevices,FaceAll,Cricket_Y,InlineSkate,ShapesAll,LargeKitchenAppliances,uWaveGestureLibrary_X,DistalPhalanxTW,InsectWingbeatSound,ScreenType,uWaveGestureLibrary_Y,CinC_ECG_torso,Cricket_X,Cricket_Z,UWaveGestureLibraryAll,DistalPhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,ProximalPhalanxTW,Two_Patterns,Symbols,MiddlePhalanxTW,MedicalImages,Lighting7,SmallKitchenAppliances,ECG5000,MiddlePhalanxOutlineAgeGroup,Trace,synthetic_control,FacesUCR,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,Adiac,CBF,Worms,RefrigerationDevices,FordA,50words,WordsSynonyms,ECGFiveDays,ItalyPowerDemand,TwoLeadECG,FordB,Computers,OSULeaf,ECG200,SonyAIBORobotSurface,MALLAT,SwedishLeaf,MoteStrain,ToeSegmentation2,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,OliveOil,Car,Ham,yoga,MiddlePhalanxOutlineCorrect,DiatomSizeReduction,FISH,ShapeletSim,Lighting2,PhalangesOutlinesCorrect,BirdChicken,ProximalPhalanxOutlineCorrect,BeetleFly,Meat,Gun_Point,wafer,Earthquakes,Strawberry,Plane,Beef,WormsTwoClass,ArrowHead,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour,Coffee,Wine,HandOutlines
ToeSegmentation2,Phoneme,InlineSkate,ShapesAll,Cricket_Z,Two_Patterns,UWaveGestureLibraryAll,ElectricDevices,uWaveGestureLibrary_Z,Cricket_Y,Adiac,DistalPhalanxTW,Cricket_X,uWaveGestureLibrary_X,SwedishLeaf,FaceAll,synthetic_control,InsectWingbeatSound,SmallKitchenAppliances,LargeKitchenAppliances,CinC_ECG_torso,uWaveGestureLibrary_Y,OSULeaf,DiatomSizeReduction,Symbols,Car,yoga,Trace,MiddlePhalanxTW,MedicalImages,Worms,ScreenType,ProximalPhalanxTW,FacesUCR,Lighting7,FISH,ShapeletSim,WordsSynonyms,FordA,TwoLeadECG,FordB,Plane,50words,DistalPhalanxOutlineAgeGroup,ToeSegmentation1,ECG5000,RefrigerationDevices,ECG200,BirdChicken,ECGFiveDays,SonyAIBORobotSurface,ItalyPowerDemand,MALLAT,BeetleFly,MoteStrain,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,SonyAIBORobotSurfaceII,ProximalPhalanxOutlineAgeGroup,Computers,OliveOil,CBF,wafer,DistalPhalanxOutlineCorrect,Herring,Earthquakes,Ham,MiddlePhalanxOutlineCorrect,FaceFour,NonInvasiveFatalECG_Thorax2,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Beef,NonInvasiveFatalECG_Thorax1,Gun_Point,Meat,Strawberry,WormsTwoClass,ArrowHead,Coffee,Wine,HandOutlines
Trace,Cricket_Z,Cricket_Y,Cricket_X,ShapesAll,uWaveGestureLibrary_Y,Phoneme,synthetic_control,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,Worms,UWaveGestureLibraryAll,ElectricDevices,SonyAIBORobotSurface,Adiac,yoga,ECG200,SmallKitchenAppliances,ShapeletSim,Two_Patterns,InlineSkate,OSULeaf,SwedishLeaf,FordB,FacesUCR,TwoLeadECG,Symbols,CinC_ECG_torso,BirdChicken,ToeSegmentation2,ToeSegmentation1,BeetleFly,DiatomSizeReduction,LargeKitchenAppliances,DistalPhalanxTW,MoteStrain,Car,FordA,FaceAll,InsectWingbeatSound,SonyAIBORobotSurfaceII,ScreenType,ECGFiveDays,RefrigerationDevices,ItalyPowerDemand,FISH,ProximalPhalanxTW,ECG5000,DistalPhalanxOutlineAgeGroup,MedicalImages,MiddlePhalanxTW,Lighting7,Computers,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,CBF,WordsSynonyms,50words,Earthquakes,DistalPhalanxOutlineCorrect,Herring,Plane,Ham,wafer,MALLAT,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,FaceFour,Strawberry,NonInvasiveFatalECG_Thorax2,Meat,NonInvasiveFatalECG_Thorax1,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines
TwoLeadECG,Phoneme,Two_Patterns,uWaveGestureLibrary_Z,Cricket_Y,FordB,UWaveGestureLibraryAll,Cricket_Z,Worms,Cricket_X,SmallKitchenAppliances,FordA,CinC_ECG_torso,InlineSkate,Symbols,ElectricDevices,ShapesAll,LargeKitchenAppliances,ECG200,DistalPhalanxTW,uWaveGestureLibrary_X,ECGFiveDays,uWaveGestureLibrary_Y,ItalyPowerDemand,FaceAll,SonyAIBORobotSurface,InsectWingbeatSound,ECG5000,ScreenType,DistalPhalanxOutlineAgeGroup,Computers,ProximalPhalanxTW,RefrigerationDevices,FacesUCR,MiddlePhalanxTW,MedicalImages,Lighting7,Trace,SonyAIBORobotSurfaceII,synthetic_control,MiddlePhalanxOutlineAgeGroup,ToeSegmentation1,ProximalPhalanxOutlineAgeGroup,ToeSegmentation2,MoteStrain,ChlorineConcentration,DistalPhalanxOutlineCorrect,CBF,50words,Ham,WordsSynonyms,OSULeaf,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Adiac,ShapeletSim,Gun_Point,yoga,wafer,BirdChicken,BeetleFly,Earthquakes,Strawberry,SwedishLeaf,DiatomSizeReduction,Meat,Car,WormsTwoClass,FISH,Beef,Plane,ArrowHead,Herring,Coffee,Wine,FaceFour,NonInvasiveFatalECG_Thorax2,HandOutlines,NonInvasiveFatalECG_Thorax1
Two_Patterns,Phoneme,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,Cricket_Z,Cricket_Y,TwoLeadECG,SmallKitchenAppliances,FordB,Cricket_X,InlineSkate,FordA,CinC_ECG_torso,LargeKitchenAppliances,ElectricDevices,DistalPhalanxTW,Symbols,uWaveGestureLibrary_X,Worms,ShapesAll,FaceAll,ECGFiveDays,uWaveGestureLibrary_Y,ItalyPowerDemand,InsectWingbeatSound,ScreenType,ECG200,SonyAIBORobotSurface,ECG5000,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,MiddlePhalanxTW,MedicalImages,Lighting7,RefrigerationDevices,MiddlePhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,synthetic_control,Trace,DistalPhalanxOutlineCorrect,FacesUCR,50words,Ham,WordsSynonyms,MoteStrain,MiddlePhalanxOutlineCorrect,ToeSegmentation1,Lighting2,MALLAT,ToeSegmentation2,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,OSULeaf,Adiac,Strawberry,wafer,yoga,ShapeletSim,Meat,WormsTwoClass,DiatomSizeReduction,BirdChicken,Car,BeetleFly,Earthquakes,Beef,FISH,ArrowHead,Plane,Coffee,Wine,Herring,FaceFour,HandOutlines,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,CBF
UWaveGestureLibraryAll,Phoneme,Two_Patterns,uWaveGestureLibrary_Z,50words,Cricket_Z,Cricket_Y,ShapesAll,WordsSynonyms,Cricket_X,InlineSkate,ElectricDevices,uWaveGestureLibrary_X,FaceAll,CinC_ECG_torso,DistalPhalanxTW,LargeKitchenAppliances,InsectWingbeatSound,MedicalImages,uWaveGestureLibrary_Y,Worms,SmallKitchenAppliances,Symbols,ScreenType,MiddlePhalanxTW,Lighting7,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,ECG5000,FacesUCR,SonyAIBORobotSurface,MALLAT,MiddlePhalanxOutlineAgeGroup,synthetic_control,FordB,TwoLeadECG,FordA,ProximalPhalanxOutlineAgeGroup,Trace,ECG200,ChlorineConcentration,ECGFiveDays,Computers,ItalyPowerDemand,CBF,RefrigerationDevices,Adiac,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,Ham,MoteStrain,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,ToeSegmentation1,PhalangesOutlinesCorrect,OSULeaf,ProximalPhalanxOutlineCorrect,ToeSegmentation2,SwedishLeaf,Gun_Point,Strawberry,yoga,ShapeletSim,wafer,Meat,DiatomSizeReduction,WormsTwoClass,Car,BirdChicken,FISH,BeetleFly,Beef,Earthquakes,Plane,ArrowHead,Coffee,Wine,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,HandOutlines,FaceFour
Wine,Coffee,ArrowHead,Beef,FacesUCR,Phoneme,50words,WordsSynonyms,Meat,HandOutlines,ECG5000,uWaveGestureLibrary_Y,MedicalImages,WormsTwoClass,FaceAll,Worms,MALLAT,Lighting7,synthetic_control,OliveOil,ProximalPhalanxTW,ShapesAll,MiddlePhalanxTW,CBF,Gun_Point,DistalPhalanxTW,Cricket_Y,Cricket_X,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,InsectWingbeatSound,ChlorineConcentration,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,Cricket_Z,uWaveGestureLibrary_X,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,Lighting2,ElectricDevices,UWaveGestureLibraryAll,MiddlePhalanxOutlineCorrect,uWaveGestureLibrary_Z,Ham,ScreenType,InlineSkate,DistalPhalanxOutlineCorrect,Symbols,RefrigerationDevices,LargeKitchenAppliances,Computers,Two_Patterns,ItalyPowerDemand,SmallKitchenAppliances,ECGFiveDays,wafer,SonyAIBORobotSurfaceII,FordA,MoteStrain,TwoLeadECG,FordB,ECG200,ToeSegmentation1,Trace,SonyAIBORobotSurface,OSULeaf,ToeSegmentation2,Earthquakes,Adiac,SwedishLeaf,ShapeletSim,DiatomSizeReduction,Car,yoga,BirdChicken,BeetleFly,FISH,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1
WordsSynonyms,MALLAT,FaceAll,Lighting7,Phoneme,FacesUCR,Cricket_X,OliveOil,ProximalPhalanxTW,PhalangesOutlinesCorrect,MedicalImages,ShapesAll,ProximalPhalanxOutlineCorrect,Gun_Point,MiddlePhalanxTW,ChlorineConcentration,Lighting2,InsectWingbeatSound,CBF,ProximalPhalanxOutlineAgeGroup,Cricket_Z,MiddlePhalanxOutlineAgeGroup,Strawberry,uWaveGestureLibrary_X,MiddlePhalanxOutlineCorrect,uWaveGestureLibrary_Y,DistalPhalanxTW,Meat,DistalPhalanxOutlineAgeGroup,Ham,ECG5000,WormsTwoClass,synthetic_control,DistalPhalanxOutlineCorrect,CinC_ECG_torso,UWaveGestureLibraryAll,Cricket_Y,ElectricDevices,ScreenType,Beef,InlineSkate,Computers,Worms,uWaveGestureLibrary_Z,RefrigerationDevices,LargeKitchenAppliances,wafer,Symbols,ItalyPowerDemand,ECGFiveDays,ArrowHead,Two_Patterns,SmallKitchenAppliances,FordA,Coffee,Wine,SonyAIBORobotSurfaceII,TwoLeadECG,FordB,MoteStrain,SonyAIBORobotSurface,ECG200,Earthquakes,ToeSegmentation1,HandOutlines,ToeSegmentation2,Trace,OSULeaf,Adiac,yoga,ShapeletSim,BeetleFly,SwedishLeaf,BirdChicken,Car,DiatomSizeReduction,FISH,Plane,Herring,FaceFour,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Worms,50words,Phoneme,ShapesAll,WordsSynonyms,Cricket_Z,uWaveGestureLibrary_Z,Cricket_Y,UWaveGestureLibraryAll,Cricket_X,FaceAll,MALLAT,InlineSkate,Two_Patterns,ElectricDevices,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,MedicalImages,InsectWingbeatSound,FacesUCR,DistalPhalanxTW,Lighting7,Trace,ProximalPhalanxTW,MiddlePhalanxTW,synthetic_control,CinC_ECG_torso,ScreenType,LargeKitchenAppliances,ECG5000,SmallKitchenAppliances,Symbols,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Beef,Adiac,ProximalPhalanxOutlineAgeGroup,OliveOil,CBF,OSULeaf,SwedishLeaf,RefrigerationDevices,Meat,Car,DiatomSizeReduction,FISH,ItalyPowerDemand,ECGFiveDays,Ham,Computers,ArrowHead,DistalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MiddlePhalanxOutlineCorrect,FordA,Gun_Point,Lighting2,ProximalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,TwoLeadECG,FordB,Strawberry,MoteStrain,ECG200,SonyAIBORobotSurface,ToeSegmentation1,ToeSegmentation2,wafer,Plane,ShapeletSim,Coffee,Wine,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Earthquakes,BirdChicken,yoga,BeetleFly,HandOutlines,FaceFour,Herring,Haptics
WormsTwoClass,WordsSynonyms,50words,FacesUCR,FaceAll,Meat,Phoneme,uWaveGestureLibrary_Y,MALLAT,Strawberry,OliveOil,Lighting7,ECG5000,MedicalImages,synthetic_control,ProximalPhalanxTW,Gun_Point,Beef,ShapesAll,MiddlePhalanxTW,Cricket_Y,CBF,DistalPhalanxTW,ArrowHead,Cricket_X,ProximalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,Coffee,InsectWingbeatSound,Wine,ChlorineConcentration,Lighting2,Cricket_Z,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,ElectricDevices,UWaveGestureLibraryAll,Ham,uWaveGestureLibrary_Z,DistalPhalanxOutlineCorrect,ScreenType,InlineSkate,RefrigerationDevices,Computers,Symbols,HandOutlines,LargeKitchenAppliances,ItalyPowerDemand,Two_Patterns,ECGFiveDays,wafer,SmallKitchenAppliances,SonyAIBORobotSurfaceII,FordA,MoteStrain,TwoLeadECG,FordB,ECG200,ToeSegmentation1,SonyAIBORobotSurface,Trace,ToeSegmentation2,OSULeaf,Earthquakes,Adiac,ShapeletSim,SwedishLeaf,yoga,DiatomSizeReduction,Car,BirdChicken,BeetleFly,FISH,Plane,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1,Haptics
synthetic_control,ShapesAll,50words,WordsSynonyms,Adiac,Cricket_Z,Phoneme,Cricket_X,Cricket_Y,Trace,FacesUCR,MedicalImages,FaceAll,InsectWingbeatSound,uWaveGestureLibrary_Y,MALLAT,uWaveGestureLibrary_X,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,ElectricDevices,Lighting7,InlineSkate,Worms,DistalPhalanxTW,ProximalPhalanxTW,OSULeaf,MiddlePhalanxTW,Two_Patterns,Symbols,Car,CinC_ECG_torso,FISH,SmallKitchenAppliances,DiatomSizeReduction,ECG5000,LargeKitchenAppliances,OliveOil,ScreenType,DistalPhalanxOutlineAgeGroup,RefrigerationDevices,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,Beef,CBF,FordB,TwoLeadECG,ECG200,SonyAIBORobotSurface,Plane,FordA,ToeSegmentation1,ECGFiveDays,MoteStrain,ItalyPowerDemand,SonyAIBORobotSurfaceII,ToeSegmentation2,Computers,NonInvasiveFatalECG_Thorax2,ShapeletSim,NonInvasiveFatalECG_Thorax1,DistalPhalanxOutlineCorrect,Ham,Meat,yoga,MiddlePhalanxOutlineCorrect,BirdChicken,Lighting2,BeetleFly,PhalangesOutlinesCorrect,FaceFour,wafer,ProximalPhalanxOutlineCorrect,Gun_Point,Earthquakes,ArrowHead,Strawberry,WormsTwoClass,Herring,Coffee,Wine,HandOutlines
uWaveGestureLibrary_X,Phoneme,InsectWingbeatSound,FaceAll,ShapesAll,InlineSkate,ElectricDevices,50words,Cricket_X,Cricket_Y,MedicalImages,WordsSynonyms,DistalPhalanxTW,MiddlePhalanxTW,Lighting7,ProximalPhalanxTW,Cricket_Z,ScreenType,UWaveGestureLibraryAll,Two_Patterns,LargeKitchenAppliances,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,CinC_ECG_torso,MALLAT,Symbols,ProximalPhalanxOutlineAgeGroup,FacesUCR,Worms,SmallKitchenAppliances,CBF,ECG5000,OliveOil,synthetic_control,FordA,TwoLeadECG,FordB,ECGFiveDays,ItalyPowerDemand,Adiac,RefrigerationDevices,Trace,Computers,ECG200,SonyAIBORobotSurface,DistalPhalanxOutlineCorrect,Ham,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,OSULeaf,MoteStrain,SwedishLeaf,Lighting2,Meat,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ToeSegmentation1,Beef,Gun_Point,ToeSegmentation2,FISH,Strawberry,ArrowHead,wafer,Car,DiatomSizeReduction,WormsTwoClass,yoga,ShapeletSim,Plane,BirdChicken,BeetleFly,Earthquakes,NonInvasiveFatalECG_Thorax2,Coffee,NonInvasiveFatalECG_Thorax1,Wine,Herring,FaceFour,HandOutlines,Haptics,uWaveGestureLibrary_Y
uWaveGestureLibrary_Y,50words,Phoneme,ShapesAll,InsectWingbeatSound,FaceAll,Cricket_Z,WordsSynonyms,Cricket_Y,Cricket_X,InlineSkate,MedicalImages,FacesUCR,DistalPhalanxTW,ElectricDevices,UWaveGestureLibraryAll,MiddlePhalanxTW,Lighting7,ProximalPhalanxTW,MALLAT,Two_Patterns,synthetic_control,CinC_ECG_torso,Worms,OliveOil,ECG5000,ChlorineConcentration,CBF,Trace,MiddlePhalanxOutlineAgeGroup,Symbols,ProximalPhalanxOutlineAgeGroup,ScreenType,DistalPhalanxOutlineAgeGroup,Adiac,LargeKitchenAppliances,SmallKitchenAppliances,SwedishLeaf,OSULeaf,RefrigerationDevices,Meat,Beef,FordA,ECGFiveDays,TwoLeadECG,FordB,ItalyPowerDemand,Computers,FISH,DistalPhalanxOutlineCorrect,ECG200,Ham,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,MoteStrain,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ArrowHead,DiatomSizeReduction,Car,ToeSegmentation1,Gun_Point,Strawberry,ToeSegmentation2,Plane,wafer,WormsTwoClass,ShapeletSim,yoga,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,BirdChicken,BeetleFly,Earthquakes,Coffee,Wine,FaceFour,Herring,HandOutlines,Haptics,uWaveGestureLibrary_Z
uWaveGestureLibrary_Z,Phoneme,50words,UWaveGestureLibraryAll,Cricket_Z,Cricket_Y,Two_Patterns,ShapesAll,WordsSynonyms,Cricket_X,InlineSkate,ElectricDevices,FaceAll,CinC_ECG_torso,DistalPhalanxTW,Worms,InsectWingbeatSound,LargeKitchenAppliances,Symbols,MedicalImages,SmallKitchenAppliances,ScreenType,Trace,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,synthetic_control,FacesUCR,DistalPhalanxOutlineAgeGroup,TwoLeadECG,FordB,FordA,MiddlePhalanxOutlineAgeGroup,ECG5000,ChlorineConcentration,ECG200,SonyAIBORobotSurface,MALLAT,ECGFiveDays,ProximalPhalanxOutlineAgeGroup,ItalyPowerDemand,Adiac,CBF,OliveOil,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,MoteStrain,OSULeaf,ToeSegmentation1,DistalPhalanxOutlineCorrect,Ham,SwedishLeaf,ToeSegmentation2,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,Car,DiatomSizeReduction,ProximalPhalanxOutlineCorrect,ShapeletSim,FISH,Meat,yoga,Gun_Point,wafer,BirdChicken,Strawberry,Beef,BeetleFly,WormsTwoClass,ArrowHead,Plane,Earthquakes,NonInvasiveFatalECG_Thorax2,Herring,FaceFour,NonInvasiveFatalECG_Thorax1,Coffee,Wine,HandOutlines,Haptics,uWaveGestureLibrary_Y
wafer,ShapesAll,50words,FaceAll,WordsSynonyms,MALLAT,Phoneme,Lighting7,OliveOil,Cricket_Z,uWaveGestureLibrary_Y,FacesUCR,ProximalPhalanxTW,Cricket_Y,MiddlePhalanxTW,Meat,ECG5000,CBF,Adiac,MedicalImages,DistalPhalanxTW,synthetic_control,Cricket_X,ProximalPhalanxOutlineAgeGroup,Trace,InsectWingbeatSound,ChlorineConcentration,SwedishLeaf,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,CinC_ECG_torso,uWaveGestureLibrary_Z,DistalPhalanxOutlineAgeGroup,UWaveGestureLibraryAll,Car,ElectricDevices,Worms,Beef,OSULeaf,DiatomSizeReduction,ArrowHead,Strawberry,Symbols,ScreenType,FISH,InlineSkate,Gun_Point,RefrigerationDevices,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,WormsTwoClass,Lighting2,LargeKitchenAppliances,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,SmallKitchenAppliances,Two_Patterns,Computers,yoga,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,FordA,MoteStrain,ToeSegmentation1,ToeSegmentation2,TwoLeadECG,FordB,ShapeletSim,ECG200,SonyAIBORobotSurface,Plane,BirdChicken,Coffee,Wine,BeetleFly,Earthquakes,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,HandOutlines,FaceFour,Herring
yoga,ShapesAll,Cricket_Z,Adiac,Phoneme,SwedishLeaf,synthetic_control,uWaveGestureLibrary_Y,Cricket_X,DiatomSizeReduction,ShapeletSim,Trace,Car,Cricket_Y,BirdChicken,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_X,BeetleFly,uWaveGestureLibrary_Z,ToeSegmentation2,Worms,FISH,Plane,Symbols,ToeSegmentation1,SmallKitchenAppliances,FacesUCR,Herring,SonyAIBORobotSurface,ECG200,RefrigerationDevices,InlineSkate,MoteStrain,Two_Patterns,CinC_ECG_torso,wafer,FordB,TwoLeadECG,SonyAIBORobotSurfaceII,LargeKitchenAppliances,DistalPhalanxTW,Earthquakes,FaceAll,FordA,InsectWingbeatSound,ScreenType,FaceFour,NonInvasiveFatalECG_Thorax2,ECGFiveDays,ECG5000,ItalyPowerDemand,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,MedicalImages,Lighting7,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,NonInvasiveFatalECG_Thorax1,CBF,50words,WordsSynonyms,DistalPhalanxOutlineCorrect,Ham,MALLAT,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,Meat,Strawberry,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines,Haptics
