,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
ItalyPowerDemand,Phoneme,50words,ShapesAll,WordsSynonyms,InsectWingbeatSound,FaceAll,MedicalImages,Cricket_X,Cricket_Y,uWaveGestureLibrary_X,InlineSkate,Cricket_Z,ElectricDevices,MiddlePhalanxTW,DistalPhalanxTW,uWaveGestureLibrary_Z,Lighting7,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,ProximalPhalanxTW,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,ChlorineConcentration,MALLAT,LargeKitchenAppliances,FacesUCR,ScreenType,Symbols,ProximalPhalanxOutlineAgeGroup,CBF,synthetic_control,Worms,Two_Patterns,Computers,Ham,RefrigerationDevices,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,ECG5000,Trace,SonyAIBORobotSurfaceII,SonyAIBORobotSurface,Lighting2,SmallKitchenAppliances,ECG200,FordA,ECGFiveDays,FordB,PhalangesOutlinesCorrect,MoteStrain,TwoLeadECG,OliveOil,ProximalPhalanxOutlineCorrect,ToeSegmentation1,Earthquakes,OSULeaf,ToeSegmentation2,Gun_Point,Adiac,ShapeletSim,Strawberry,BeetleFly,Meat,BirdChicken,WormsTwoClass,wafer,Beef,yoga,SwedishLeaf,ArrowHead,Car,Plane,DiatomSizeReduction,Coffee,Wine,HandOutlines,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
LargeKitchenAppliances,50words,Phoneme,ShapesAll,WordsSynonyms,InsectWingbeatSound,MedicalImages,FaceAll,Cricket_X,Cricket_Y,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_Z,Lighting7,MiddlePhalanxTW,uWaveGestureLibrary_X,ProximalPhalanxTW,InlineSkate,uWaveGestureLibrary_Y,ElectricDevices,Two_Patterns,DistalPhalanxTW,MALLAT,MiddlePhalanxOutlineAgeGroup,Symbols,ChlorineConcentration,Worms,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,CBF,FacesUCR,DistalPhalanxOutlineCorrect,ECG5000,FordB,synthetic_control,TwoLeadECG,Ham,ItalyPowerDemand,SonyAIBORobotSurface,MiddlePhalanxOutlineCorrect,ECG200,ECGFiveDays,SonyAIBORobotSurfaceII,Lighting2,PhalangesOutlinesCorrect,MoteStrain,OliveOil,ProximalPhalanxOutlineCorrect,Trace,FordA,OSULeaf,Earthquakes,Gun_Point,ToeSegmentation2,Adiac,ToeSegmentation1,Strawberry,ShapeletSim,wafer,BeetleFly,Meat,WormsTwoClass,BirdChicken,Beef,yoga,SwedishLeaf,Car,DiatomSizeReduction,ArrowHead,Plane,Coffee,Wine,FISH,Haptics,NonInvasiveFatalECG_Thorax2,HandOutlines,Herring,NonInvasiveFatalECG_Thorax1,FaceFour,ScreenType,Computers,RefrigerationDevices
Lighting2,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MedicalImages,MALLAT,Cricket_X,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,FacesUCR,uWaveGestureLibrary_X,DistalPhalanxTW,Cricket_Y,InlineSkate,uWaveGestureLibrary_Y,OliveOil,ElectricDevices,Cricket_Z,UWaveGestureLibraryAll,ProximalPhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,CBF,ScreenType,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,ECG5000,ChlorineConcentration,Gun_Point,LargeKitchenAppliances,ProximalPhalanxOutlineCorrect,Computers,Worms,MiddlePhalanxOutlineCorrect,Symbols,Strawberry,Ham,DistalPhalanxOutlineCorrect,Two_Patterns,PhalangesOutlinesCorrect,synthetic_control,ItalyPowerDemand,ECGFiveDays,Meat,WormsTwoClass,RefrigerationDevices,SonyAIBORobotSurfaceII,MoteStrain,Beef,SmallKitchenAppliances,Earthquakes,FordA,ToeSegmentation1,wafer,FordB,TwoLeadECG,Adiac,ToeSegmentation2,ArrowHead,ECG200,Trace,SonyAIBORobotSurface,Coffee,Wine,OSULeaf,HandOutlines,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
Lighting7,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,MedicalImages,ShapesAll,MALLAT,Cricket_X,FacesUCR,MiddlePhalanxTW,uWaveGestureLibrary_X,ProximalPhalanxTW,Cricket_Y,DistalPhalanxTW,InlineSkate,ElectricDevices,Cricket_Z,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,OliveOil,uWaveGestureLibrary_Z,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,CinC_ECG_torso,CBF,DistalPhalanxOutlineAgeGroup,ScreenType,ECG5000,LargeKitchenAppliances,Ham,Lighting2,PhalangesOutlinesCorrect,Gun_Point,Two_Patterns,synthetic_control,MiddlePhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,Worms,DistalPhalanxOutlineCorrect,Symbols,Computers,RefrigerationDevices,Meat,Beef,Strawberry,ECGFiveDays,ItalyPowerDemand,SmallKitchenAppliances,WormsTwoClass,FordA,SonyAIBORobotSurfaceII,MoteStrain,ToeSegmentation1,Earthquakes,ArrowHead,TwoLeadECG,wafer,FordB,ToeSegmentation2,Trace,Adiac,ECG200,Coffee,SonyAIBORobotSurface,Wine,OSULeaf,HandOutlines,ShapeletSim,SwedishLeaf,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
MALLAT,50words,WordsSynonyms,FaceAll,ShapesAll,InsectWingbeatSound,MedicalImages,FacesUCR,Cricket_X,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,Cricket_Y,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,Cricket_Z,DistalPhalanxTW,InlineSkate,ElectricDevices,UWaveGestureLibraryAll,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,ECG5000,Meat,DistalPhalanxOutlineAgeGroup,synthetic_control,CBF,Beef,ProximalPhalanxOutlineAgeGroup,OliveOil,ScreenType,Ham,MiddlePhalanxOutlineCorrect,WormsTwoClass,Lighting2,CinC_ECG_torso,DistalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,LargeKitchenAppliances,ProximalPhalanxOutlineCorrect,RefrigerationDevices,Symbols,Worms,Computers,Two_Patterns,Strawberry,Adiac,ArrowHead,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,Gun_Point,SmallKitchenAppliances,wafer,MoteStrain,Earthquakes,FordA,Coffee,Trace,Wine,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,HandOutlines,OSULeaf,SwedishLeaf,ShapeletSim,yoga,BeetleFly,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring,FaceFour
Meat,50words,WordsSynonyms,Phoneme,FaceAll,MALLAT,FacesUCR,MedicalImages,Beef,Lighting7,ShapesAll,InsectWingbeatSound,OliveOil,Cricket_X,ProximalPhalanxTW,MiddlePhalanxTW,ArrowHead,DistalPhalanxTW,ECG5000,uWaveGestureLibrary_X,Cricket_Y,Strawberry,Coffee,uWaveGestureLibrary_Y,CBF,Wine,Cricket_Z,Gun_Point,ProximalPhalanxOutlineAgeGroup,ElectricDevices,ChlorineConcentration,UWaveGestureLibraryAll,Worms,CinC_ECG_torso,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,InlineSkate,uWaveGestureLibrary_Z,PhalangesOutlinesCorrect,Lighting2,DistalPhalanxOutlineAgeGroup,WormsTwoClass,MiddlePhalanxOutlineCorrect,HandOutlines,wafer,Ham,DistalPhalanxOutlineCorrect,ScreenType,synthetic_control,RefrigerationDevices,LargeKitchenAppliances,Symbols,Computers,SonyAIBORobotSurfaceII,Two_Patterns,ItalyPowerDemand,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
MedicalImages,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MALLAT,Cricket_X,Lighting7,FacesUCR,uWaveGestureLibrary_X,ProximalPhalanxTW,Cricket_Y,InlineSkate,DistalPhalanxTW,ElectricDevices,MiddlePhalanxTW,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_Z,OliveOil,uWaveGestureLibrary_Z,ScreenType,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,CBF,ECG5000,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,LargeKitchenAppliances,ChlorineConcentration,ProximalPhalanxOutlineCorrect,Worms,Gun_Point,Lighting2,Computers,Strawberry,Two_Patterns,MiddlePhalanxOutlineCorrect,synthetic_control,Beef,Symbols,DistalPhalanxOutlineCorrect,ECGFiveDays,ItalyPowerDemand,RefrigerationDevices,Ham,Meat,WormsTwoClass,SmallKitchenAppliances,FordA,ArrowHead,MoteStrain,ToeSegmentation1,SonyAIBORobotSurfaceII,wafer,Earthquakes,HandOutlines,TwoLeadECG,Coffee,FordB,Wine,ToeSegmentation2,ECG200,Trace,Adiac,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
MiddlePhalanxOutlineAgeGroup,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MALLAT,Cricket_X,MedicalImages,uWaveGestureLibrary_X,Lighting7,InlineSkate,Cricket_Y,ElectricDevices,FacesUCR,UWaveGestureLibraryAll,Cricket_Z,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,OliveOil,ScreenType,CinC_ECG_torso,MiddlePhalanxTW,LargeKitchenAppliances,ECG5000,Two_Patterns,CBF,Worms,Gun_Point,Computers,ChlorineConcentration,Lighting2,ECGFiveDays,Symbols,ItalyPowerDemand,RefrigerationDevices,MiddlePhalanxOutlineCorrect,SmallKitchenAppliances,FordA,Strawberry,synthetic_control,Ham,ToeSegmentation1,MoteStrain,Meat,WormsTwoClass,TwoLeadECG,FordB,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,Beef,ToeSegmentation2,SonyAIBORobotSurfaceII,DistalPhalanxTW,PhalangesOutlinesCorrect,wafer,ECG200,SonyAIBORobotSurface,Earthquakes,DistalPhalanxOutlineCorrect,Trace,ProximalPhalanxOutlineAgeGroup,Adiac,OSULeaf,ArrowHead,ProximalPhalanxOutlineCorrect,Coffee,Wine,ShapeletSim,BeetleFly,HandOutlines,SwedishLeaf,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
MiddlePhalanxOutlineCorrect,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MALLAT,MedicalImages,Cricket_X,uWaveGestureLibrary_X,FacesUCR,Lighting7,InlineSkate,Cricket_Y,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_Z,OliveOil,uWaveGestureLibrary_Z,ScreenType,CinC_ECG_torso,MiddlePhalanxTW,LargeKitchenAppliances,ECG5000,CBF,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Two_Patterns,Gun_Point,Computers,Worms,Symbols,ECGFiveDays,Lighting2,ItalyPowerDemand,Strawberry,RefrigerationDevices,synthetic_control,SmallKitchenAppliances,FordA,Ham,Meat,WormsTwoClass,MoteStrain,ToeSegmentation1,PhalangesOutlinesCorrect,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,Beef,TwoLeadECG,Earthquakes,FordB,wafer,ToeSegmentation2,SonyAIBORobotSurfaceII,DistalPhalanxTW,DistalPhalanxOutlineCorrect,ECG200,SonyAIBORobotSurface,ProximalPhalanxOutlineAgeGroup,Trace,Adiac,ProximalPhalanxOutlineCorrect,ArrowHead,OSULeaf,Coffee,Wine,ShapeletSim,HandOutlines,BeetleFly,SwedishLeaf,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
MiddlePhalanxTW,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,Cricket_X,MALLAT,MedicalImages,Lighting7,FacesUCR,uWaveGestureLibrary_X,Cricket_Y,InlineSkate,ElectricDevices,UWaveGestureLibraryAll,Cricket_Z,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,OliveOil,ScreenType,CinC_ECG_torso,LargeKitchenAppliances,Two_Patterns,ECG5000,CBF,ChlorineConcentration,Lighting2,Worms,synthetic_control,Computers,ECGFiveDays,RefrigerationDevices,Gun_Point,Symbols,ItalyPowerDemand,SmallKitchenAppliances,FordA,MiddlePhalanxOutlineAgeGroup,Meat,Beef,Ham,ToeSegmentation1,Strawberry,WormsTwoClass,MiddlePhalanxOutlineCorrect,TwoLeadECG,FordB,MoteStrain,ToeSegmentation2,ProximalPhalanxTW,SonyAIBORobotSurfaceII,ECG200,DistalPhalanxTW,SonyAIBORobotSurface,DistalPhalanxOutlineAgeGroup,Earthquakes,Trace,wafer,ArrowHead,DistalPhalanxOutlineCorrect,Adiac,ProximalPhalanxOutlineAgeGroup,OSULeaf,Coffee,PhalangesOutlinesCorrect,Wine,ProximalPhalanxOutlineCorrect,ShapeletSim,HandOutlines,BeetleFly,SwedishLeaf,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
MoteStrain,ShapesAll,Phoneme,Adiac,50words,Cricket_Y,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,Cricket_Z,InlineSkate,Cricket_X,WordsSynonyms,ElectricDevices,uWaveGestureLibrary_X,FaceAll,Two_Patterns,InsectWingbeatSound,SwedishLeaf,uWaveGestureLibrary_Y,DistalPhalanxTW,MedicalImages,CinC_ECG_torso,OSULeaf,synthetic_control,Symbols,LargeKitchenAppliances,Worms,TwoLeadECG,FordB,SmallKitchenAppliances,Lighting7,FacesUCR,FordA,Car,ToeSegmentation2,ECG200,SonyAIBORobotSurface,MiddlePhalanxTW,DiatomSizeReduction,yoga,ProximalPhalanxTW,ECGFiveDays,ScreenType,MALLAT,RefrigerationDevices,DistalPhalanxOutlineAgeGroup,ToeSegmentation1,ItalyPowerDemand,ECG5000,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,ShapeletSim,SonyAIBORobotSurfaceII,Plane,Computers,wafer,FISH,ProximalPhalanxOutlineAgeGroup,CBF,Ham,Lighting2,MiddlePhalanxOutlineCorrect,BirdChicken,PhalangesOutlinesCorrect,Trace,OliveOil,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,Earthquakes,Haptics,Gun_Point,BeetleFly,Herring,Strawberry,Meat,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines,NonInvasiveFatalECG_Thorax2,FaceFour
NonInvasiveFatalECG_Thorax1,ShapesAll,Adiac,SwedishLeaf,Phoneme,FISH,Plane,OSULeaf,Symbols,DiatomSizeReduction,Cricket_Z,FaceFour,Car,Herring,Cricket_Y,Cricket_X,synthetic_control,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,BeetleFly,Trace,Earthquakes,FacesUCR,uWaveGestureLibrary_Y,BirdChicken,RefrigerationDevices,ElectricDevices,yoga,uWaveGestureLibrary_X,ShapeletSim,Haptics,Worms,NonInvasiveFatalECG_Thorax2,InlineSkate,Two_Patterns,ToeSegmentation2,SmallKitchenAppliances,ToeSegmentation1,wafer,SonyAIBORobotSurface,ECG200,FordB,TwoLeadECG,CinC_ECG_torso,MoteStrain,InsectWingbeatSound,DistalPhalanxTW,FaceAll,SonyAIBORobotSurfaceII,LargeKitchenAppliances,FordA,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,MedicalImages,ProximalPhalanxTW,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,Lighting7,50words,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
NonInvasiveFatalECG_Thorax2,ShapesAll,Adiac,SwedishLeaf,Phoneme,FISH,Plane,OSULeaf,Symbols,DiatomSizeReduction,Cricket_Z,Car,FaceFour,Cricket_Y,Herring,Cricket_X,synthetic_control,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,BeetleFly,Trace,uWaveGestureLibrary_Y,Earthquakes,BirdChicken,RefrigerationDevices,ElectricDevices,FacesUCR,yoga,uWaveGestureLibrary_X,ShapeletSim,Worms,Haptics,InlineSkate,Two_Patterns,ToeSegmentation2,SmallKitchenAppliances,NonInvasiveFatalECG_Thorax1,ToeSegmentation1,SonyAIBORobotSurface,wafer,ECG200,FordB,TwoLeadECG,CinC_ECG_torso,InsectWingbeatSound,MoteStrain,DistalPhalanxTW,FaceAll,SonyAIBORobotSurfaceII,LargeKitchenAppliances,FordA,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,MedicalImages,ProximalPhalanxTW,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,Lighting7,50words,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
OSULeaf,yoga,ShapesAll,Adiac,NonInvasiveFatalECG_Thorax2,Phoneme,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Cricket_Z,Cricket_Y,Plane,FISH,Cricket_X,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Symbols,Trace,uWaveGestureLibrary_Y,synthetic_control,ElectricDevices,uWaveGestureLibrary_X,FaceFour,DiatomSizeReduction,InlineSkate,Car,Worms,Two_Patterns,InsectWingbeatSound,SmallKitchenAppliances,Herring,BirdChicken,BeetleFly,FaceAll,ShapeletSim,DistalPhalanxTW,FacesUCR,ECG200,SonyAIBORobotSurface,ToeSegmentation2,CinC_ECG_torso,ToeSegmentation1,TwoLeadECG,FordB,RefrigerationDevices,MoteStrain,LargeKitchenAppliances,50words,Earthquakes,SonyAIBORobotSurfaceII,wafer,MedicalImages,FordA,ScreenType,ECGFiveDays,WordsSynonyms,ItalyPowerDemand,Haptics,MiddlePhalanxTW,ProximalPhalanxTW,ECG5000,Lighting7,DistalPhalanxOutlineAgeGroup,Computers,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
OliveOil,50words,WordsSynonyms,Phoneme,FaceAll,MedicalImages,InsectWingbeatSound,FacesUCR,Cricket_X,ShapesAll,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,MALLAT,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,Cricket_Y,DistalPhalanxTW,Cricket_Z,ChlorineConcentration,InlineSkate,ElectricDevices,MiddlePhalanxOutlineAgeGroup,UWaveGestureLibraryAll,ECG5000,DistalPhalanxOutlineAgeGroup,Meat,uWaveGestureLibrary_Z,ProximalPhalanxOutlineAgeGroup,CBF,synthetic_control,Ham,WormsTwoClass,MiddlePhalanxOutlineCorrect,Beef,Lighting2,ScreenType,PhalangesOutlinesCorrect,DistalPhalanxOutlineCorrect,Strawberry,CinC_ECG_torso,ProximalPhalanxOutlineCorrect,RefrigerationDevices,LargeKitchenAppliances,Computers,Symbols,SonyAIBORobotSurfaceII,Two_Patterns,wafer,ItalyPowerDemand,Worms,ECGFiveDays,ArrowHead,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,Coffee,ToeSegmentation1,Wine,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,SonyAIBORobotSurface,ECG200,HandOutlines,Gun_Point,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
PhalangesOutlinesCorrect,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,MedicalImages,ShapesAll,MALLAT,FacesUCR,Cricket_X,Lighting7,Cricket_Y,uWaveGestureLibrary_X,InlineSkate,uWaveGestureLibrary_Y,OliveOil,ElectricDevices,Cricket_Z,UWaveGestureLibraryAll,ChlorineConcentration,ECG5000,ScreenType,CBF,CinC_ECG_torso,uWaveGestureLibrary_Z,LargeKitchenAppliances,Strawberry,Ham,Meat,Gun_Point,Computers,synthetic_control,Symbols,WormsTwoClass,Worms,Two_Patterns,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,ProximalPhalanxTW,MiddlePhalanxTW,Beef,MiddlePhalanxOutlineAgeGroup,Lighting2,SonyAIBORobotSurfaceII,SmallKitchenAppliances,FordA,ProximalPhalanxOutlineCorrect,MoteStrain,MiddlePhalanxOutlineCorrect,wafer,Earthquakes,DistalPhalanxOutlineAgeGroup,ToeSegmentation1,ProximalPhalanxOutlineAgeGroup,TwoLeadECG,FordB,ArrowHead,ToeSegmentation2,DistalPhalanxTW,ECG200,DistalPhalanxOutlineCorrect,Adiac,Trace,Coffee,SonyAIBORobotSurface,Wine,OSULeaf,HandOutlines,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Phoneme,ShapesAll,50words,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Adiac,WordsSynonyms,FaceAll,Cricket_Y,Cricket_X,SwedishLeaf,InsectWingbeatSound,Cricket_Z,FacesUCR,MedicalImages,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,InlineSkate,Lighting7,ElectricDevices,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxTW,Symbols,synthetic_control,Plane,FISH,OSULeaf,Worms,ECG5000,CinC_ECG_torso,Trace,Two_Patterns,OliveOil,Beef,ScreenType,FaceFour,MiddlePhalanxOutlineAgeGroup,CBF,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,LargeKitchenAppliances,DiatomSizeReduction,SmallKitchenAppliances,Meat,RefrigerationDevices,Car,SonyAIBORobotSurface,ECG200,Computers,DistalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,MoteStrain,FordB,ItalyPowerDemand,ECGFiveDays,TwoLeadECG,Ham,Strawberry,MiddlePhalanxOutlineCorrect,WormsTwoClass,Lighting2,FordA,PhalangesOutlinesCorrect,ToeSegmentation1,wafer,ProximalPhalanxOutlineCorrect,Gun_Point,ArrowHead,Earthquakes,ToeSegmentation2,ShapeletSim,yoga,BeetleFly,BirdChicken,Herring,Coffee,Wine,HandOutlines,Haptics
Plane,NonInvasiveFatalECG_Thorax2,ShapesAll,Adiac,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Phoneme,FISH,OSULeaf,Symbols,DiatomSizeReduction,Cricket_Z,Car,Herring,Cricket_Y,FaceFour,Cricket_X,synthetic_control,uWaveGestureLibrary_Z,BeetleFly,UWaveGestureLibraryAll,Earthquakes,Trace,RefrigerationDevices,BirdChicken,uWaveGestureLibrary_Y,ElectricDevices,uWaveGestureLibrary_X,yoga,Haptics,ShapeletSim,Worms,InlineSkate,Two_Patterns,SmallKitchenAppliances,ToeSegmentation2,ToeSegmentation1,FacesUCR,SonyAIBORobotSurface,ECG200,wafer,FordB,TwoLeadECG,CinC_ECG_torso,InsectWingbeatSound,MoteStrain,DistalPhalanxTW,FaceAll,LargeKitchenAppliances,SonyAIBORobotSurfaceII,FordA,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,MedicalImages,ProximalPhalanxTW,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,Lighting7,50words,WordsSynonyms,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
