,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,MALLAT,FacesUCR,FaceAll,Phoneme,OliveOil,ShapesAll,Gun_Point,Lighting7,ProximalPhalanxTW,MedicalImages,ProximalPhalanxOutlineCorrect,Meat,PhalangesOutlinesCorrect,Cricket_X,Strawberry,ProximalPhalanxOutlineAgeGroup,Worms,CBF,MiddlePhalanxTW,CinC_ECG_torso,Lighting2,Cricket_Z,InsectWingbeatSound,uWaveGestureLibrary_Z,DistalPhalanxTW,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,WormsTwoClass,ElectricDevices,uWaveGestureLibrary_X,synthetic_control,ECG5000,ChlorineConcentration,MiddlePhalanxOutlineCorrect,wafer,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Cricket_Y,Ham,Beef,DistalPhalanxOutlineCorrect,RefrigerationDevices,SonyAIBORobotSurfaceII,ArrowHead,Computers,Earthquakes,InlineSkate,Symbols,ScreenType,MoteStrain,Coffee,Wine,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,FordA,SmallKitchenAppliances,Two_Patterns,ToeSegmentation2,TwoLeadECG,FordB,HandOutlines,ECG200,SonyAIBORobotSurface,OSULeaf,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,yoga,SwedishLeaf,Plane,DiatomSizeReduction,Car,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
Adiac,ShapesAll,Car,OSULeaf,SwedishLeaf,Phoneme,FISH,DiatomSizeReduction,Haptics,BirdChicken,BeetleFly,Symbols,RefrigerationDevices,Herring,synthetic_control,ShapeletSim,Earthquakes,Plane,yoga,Cricket_Z,ToeSegmentation2,wafer,NonInvasiveFatalECG_Thorax2,ToeSegmentation1,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_X,FaceFour,Trace,Cricket_Y,FacesUCR,uWaveGestureLibrary_X,Worms,uWaveGestureLibrary_Z,SmallKitchenAppliances,MoteStrain,NonInvasiveFatalECG_Thorax1,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,InlineSkate,CinC_ECG_torso,FordB,TwoLeadECG,Two_Patterns,FordA,ItalyPowerDemand,ECGFiveDays,DistalPhalanxTW,LargeKitchenAppliances,InsectWingbeatSound,ECG5000,FaceAll,50words,ScreenType,DistalPhalanxOutlineAgeGroup,Computers,MedicalImages,ProximalPhalanxTW,WordsSynonyms,Lighting7,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Ham,ChlorineConcentration,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,Wine,Coffee,FacesUCR,Phoneme,50words,WordsSynonyms,Meat,ECG5000,HandOutlines,MedicalImages,uWaveGestureLibrary_Y,WormsTwoClass,FaceAll,Worms,synthetic_control,MALLAT,Lighting7,Strawberry,OliveOil,ProximalPhalanxTW,ShapesAll,MiddlePhalanxTW,Cricket_Y,Gun_Point,CBF,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,Cricket_X,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,CinC_ECG_torso,Cricket_Z,InsectWingbeatSound,uWaveGestureLibrary_X,ChlorineConcentration,Lighting2,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,UWaveGestureLibraryAll,ElectricDevices,MiddlePhalanxOutlineCorrect,uWaveGestureLibrary_Z,Ham,DistalPhalanxOutlineCorrect,InlineSkate,ScreenType,RefrigerationDevices,Symbols,Computers,LargeKitchenAppliances,wafer,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,Two_Patterns,SmallKitchenAppliances,FordA,MoteStrain,TwoLeadECG,FordB,ECG200,ToeSegmentation1,SonyAIBORobotSurface,ToeSegmentation2,Earthquakes,Trace,OSULeaf,Adiac,ShapeletSim,BeetleFly,BirdChicken,yoga,SwedishLeaf,DiatomSizeReduction,Car,Plane,FISH,Herring,Haptics,NonInvasiveFatalECG_Thorax2,FaceFour
Beef,FacesUCR,ArrowHead,Coffee,Wine,Phoneme,50words,WordsSynonyms,Meat,ECG5000,HandOutlines,WormsTwoClass,uWaveGestureLibrary_Y,FaceAll,MedicalImages,MALLAT,Strawberry,Worms,OliveOil,Lighting7,synthetic_control,ShapesAll,ProximalPhalanxTW,Gun_Point,CBF,MiddlePhalanxTW,Cricket_X,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,ChlorineConcentration,Cricket_Z,Lighting2,InsectWingbeatSound,Cricket_Y,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Ham,CinC_ECG_torso,UWaveGestureLibraryAll,ElectricDevices,DistalPhalanxOutlineCorrect,ScreenType,InlineSkate,uWaveGestureLibrary_Z,RefrigerationDevices,Computers,LargeKitchenAppliances,Symbols,ItalyPowerDemand,ECGFiveDays,Two_Patterns,SmallKitchenAppliances,FordA,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,wafer,MoteStrain,ECG200,SonyAIBORobotSurface,Trace,ToeSegmentation1,ToeSegmentation2,OSULeaf,Adiac,Earthquakes,ShapeletSim,yoga,SwedishLeaf,DiatomSizeReduction,BirdChicken,Car,BeetleFly,FISH,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
BeetleFly,Adiac,Phoneme,FISH,SwedishLeaf,OSULeaf,Trace,RefrigerationDevices,DiatomSizeReduction,Cricket_X,Cricket_Z,Cricket_Y,Car,Symbols,Haptics,uWaveGestureLibrary_Y,synthetic_control,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,ShapeletSim,Worms,Plane,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,ElectricDevices,ToeSegmentation2,yoga,wafer,Two_Patterns,SmallKitchenAppliances,FaceFour,ToeSegmentation1,SonyAIBORobotSurface,InlineSkate,ECG200,FacesUCR,LargeKitchenAppliances,CinC_ECG_torso,DistalPhalanxTW,MoteStrain,FaceAll,NonInvasiveFatalECG_Thorax1,InsectWingbeatSound,ScreenType,MiddlePhalanxTW,ProximalPhalanxTW,FordB,MedicalImages,SonyAIBORobotSurfaceII,TwoLeadECG,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,Lighting7,DistalPhalanxOutlineAgeGroup,WordsSynonyms,50words,FordA,MALLAT,ProximalPhalanxOutlineAgeGroup,OliveOil,CBF,ItalyPowerDemand,ECGFiveDays,ECG5000,Computers,Meat,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Ham,Lighting2,ProximalPhalanxOutlineCorrect,Beef,PhalangesOutlinesCorrect,Gun_Point,ArrowHead,Strawberry,WormsTwoClass,Coffee,Wine,HandOutlines,ShapesAll,BirdChicken,Herring
BirdChicken,uWaveGestureLibrary_X,Adiac,Cricket_Z,synthetic_control,FacesUCR,Phoneme,Cricket_X,uWaveGestureLibrary_Y,Worms,Trace,Car,SmallKitchenAppliances,MoteStrain,Cricket_Y,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,ShapeletSim,ElectricDevices,OSULeaf,SwedishLeaf,ToeSegmentation1,DiatomSizeReduction,FISH,wafer,SonyAIBORobotSurfaceII,yoga,Symbols,ECG200,ToeSegmentation2,SonyAIBORobotSurface,Plane,InlineSkate,CinC_ECG_torso,TwoLeadECG,FordB,Two_Patterns,FordA,ItalyPowerDemand,ECGFiveDays,Haptics,ECG5000,LargeKitchenAppliances,DistalPhalanxTW,RefrigerationDevices,FaceAll,InsectWingbeatSound,DistalPhalanxOutlineAgeGroup,Computers,ScreenType,Lighting7,ProximalPhalanxTW,FaceFour,DistalPhalanxOutlineCorrect,MiddlePhalanxTW,MedicalImages,ProximalPhalanxOutlineAgeGroup,CBF,NonInvasiveFatalECG_Thorax2,MiddlePhalanxOutlineAgeGroup,NonInvasiveFatalECG_Thorax1,MiddlePhalanxOutlineCorrect,Ham,ChlorineConcentration,Lighting2,50words,WordsSynonyms,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MALLAT,Gun_Point,OliveOil,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines,ShapesAll,BeetleFly,Herring
CBF,50words,InsectWingbeatSound,Lighting7,MedicalImages,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxTW,Cricket_X,Phoneme,ProximalPhalanxTW,ChlorineConcentration,FaceAll,MALLAT,OliveOil,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ShapesAll,uWaveGestureLibrary_X,MiddlePhalanxOutlineCorrect,Ham,Lighting2,Cricket_Z,uWaveGestureLibrary_Y,DistalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,ScreenType,InlineSkate,ProximalPhalanxOutlineCorrect,ElectricDevices,FacesUCR,Gun_Point,Computers,UWaveGestureLibraryAll,RefrigerationDevices,Cricket_Y,Symbols,ECG5000,uWaveGestureLibrary_Z,CinC_ECG_torso,LargeKitchenAppliances,Strawberry,synthetic_control,ItalyPowerDemand,ECGFiveDays,Worms,SonyAIBORobotSurfaceII,SmallKitchenAppliances,FordA,WormsTwoClass,MoteStrain,Meat,TwoLeadECG,FordB,Beef,ECG200,ToeSegmentation1,SonyAIBORobotSurface,wafer,ToeSegmentation2,Earthquakes,ArrowHead,Trace,OSULeaf,Coffee,Wine,Adiac,ShapeletSim,HandOutlines,BeetleFly,BirdChicken,yoga,DiatomSizeReduction,Car,Plane,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1,Haptics,Two_Patterns
Car,Adiac,ShapesAll,OSULeaf,Phoneme,DiatomSizeReduction,SwedishLeaf,FISH,BirdChicken,Symbols,Herring,synthetic_control,BeetleFly,ShapeletSim,Plane,yoga,RefrigerationDevices,Cricket_Z,Earthquakes,ToeSegmentation2,uWaveGestureLibrary_Y,ElectricDevices,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,Cricket_X,Trace,uWaveGestureLibrary_X,ToeSegmentation1,Cricket_Y,FaceFour,Worms,wafer,FacesUCR,uWaveGestureLibrary_Z,SmallKitchenAppliances,MoteStrain,NonInvasiveFatalECG_Thorax1,ECG200,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,InlineSkate,CinC_ECG_torso,FordB,TwoLeadECG,Two_Patterns,FordA,ECGFiveDays,ItalyPowerDemand,LargeKitchenAppliances,DistalPhalanxTW,ECG5000,FaceAll,InsectWingbeatSound,Haptics,DistalPhalanxOutlineAgeGroup,ScreenType,Computers,ProximalPhalanxTW,Lighting7,MiddlePhalanxTW,MedicalImages,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,CBF,Ham,ChlorineConcentration,MiddlePhalanxOutlineCorrect,50words,Lighting2,WordsSynonyms,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MALLAT,Gun_Point,OliveOil,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ChlorineConcentration,MedicalImages,MiddlePhalanxTW,50words,Ham,MiddlePhalanxOutlineAgeGroup,Cricket_X,Lighting7,ProximalPhalanxTW,WordsSynonyms,ProximalPhalanxOutlineAgeGroup,CBF,MiddlePhalanxOutlineCorrect,Lighting2,InsectWingbeatSound,Phoneme,DistalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,FaceAll,Cricket_Z,ShapesAll,uWaveGestureLibrary_X,DistalPhalanxTW,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,RefrigerationDevices,uWaveGestureLibrary_Y,MALLAT,ElectricDevices,Computers,FacesUCR,UWaveGestureLibraryAll,InlineSkate,ScreenType,OliveOil,Symbols,ECG5000,Gun_Point,Cricket_Y,synthetic_control,uWaveGestureLibrary_Z,CinC_ECG_torso,ItalyPowerDemand,LargeKitchenAppliances,ECGFiveDays,Worms,Strawberry,SonyAIBORobotSurfaceII,FordA,SmallKitchenAppliances,Two_Patterns,MoteStrain,WormsTwoClass,TwoLeadECG,FordB,Meat,ECG200,ToeSegmentation1,SonyAIBORobotSurface,wafer,ToeSegmentation2,Earthquakes,Beef,ArrowHead,Trace,Coffee,Wine,OSULeaf,ShapeletSim,Adiac,HandOutlines,BeetleFly,BirdChicken,yoga,SwedishLeaf,DiatomSizeReduction,Car,Plane,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
CinC_ECG_torso,InlineSkate,Phoneme,ElectricDevices,50words,LargeKitchenAppliances,Cricket_Y,DistalPhalanxTW,FaceAll,MALLAT,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,WordsSynonyms,UWaveGestureLibraryAll,Cricket_X,Cricket_Z,ShapesAll,InsectWingbeatSound,SmallKitchenAppliances,FordA,uWaveGestureLibrary_Y,Two_Patterns,ScreenType,Symbols,TwoLeadECG,FordB,ECGFiveDays,ItalyPowerDemand,ECG5000,FacesUCR,Worms,DistalPhalanxOutlineAgeGroup,Computers,OliveOil,RefrigerationDevices,ProximalPhalanxTW,ECG200,Lighting7,SonyAIBORobotSurface,MiddlePhalanxTW,MedicalImages,ToeSegmentation1,ToeSegmentation2,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,CBF,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,MoteStrain,SonyAIBORobotSurfaceII,Ham,OSULeaf,MiddlePhalanxOutlineCorrect,synthetic_control,Lighting2,Trace,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Gun_Point,Strawberry,Earthquakes,ShapeletSim,Meat,WormsTwoClass,BeetleFly,Beef,BirdChicken,Adiac,wafer,yoga,SwedishLeaf,ArrowHead,DiatomSizeReduction,Car,Plane,Coffee,FISH,Wine,Herring,HandOutlines,NonInvasiveFatalECG_Thorax2,FaceFour,Haptics
