,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,MALLAT,FacesUCR,FaceAll,Phoneme,OliveOil,ProximalPhalanxTW,ShapesAll,Gun_Point,Lighting7,MedicalImages,Strawberry,PhalangesOutlinesCorrect,Meat,ProximalPhalanxOutlineCorrect,uWaveGestureLibrary_Z,ProximalPhalanxOutlineAgeGroup,Worms,CBF,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_X,Lighting2,MiddlePhalanxTW,Cricket_Z,CinC_ECG_torso,DistalPhalanxTW,ElectricDevices,synthetic_control,uWaveGestureLibrary_X,InsectWingbeatSound,wafer,WormsTwoClass,ECG5000,MiddlePhalanxOutlineCorrect,Cricket_Y,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,RefrigerationDevices,Beef,DistalPhalanxOutlineCorrect,Ham,SonyAIBORobotSurfaceII,ArrowHead,Earthquakes,Symbols,Coffee,Computers,Wine,InlineSkate,MoteStrain,ScreenType,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,FordA,HandOutlines,SmallKitchenAppliances,ToeSegmentation2,Two_Patterns,TwoLeadECG,FordB,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,yoga,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
Adiac,ShapesAll,Car,OSULeaf,Phoneme,SwedishLeaf,FISH,DiatomSizeReduction,Haptics,BirdChicken,BeetleFly,RefrigerationDevices,Symbols,synthetic_control,Herring,ShapeletSim,Earthquakes,Cricket_Z,Plane,yoga,ToeSegmentation2,wafer,NonInvasiveFatalECG_Thorax2,ToeSegmentation1,Cricket_X,ElectricDevices,Cricket_Y,Trace,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,FacesUCR,uWaveGestureLibrary_X,FaceFour,Worms,uWaveGestureLibrary_Z,SmallKitchenAppliances,MoteStrain,SonyAIBORobotSurfaceII,NonInvasiveFatalECG_Thorax1,ECG200,SonyAIBORobotSurface,InlineSkate,Two_Patterns,CinC_ECG_torso,FordB,TwoLeadECG,InsectWingbeatSound,DistalPhalanxTW,FordA,FaceAll,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ECG5000,MedicalImages,ScreenType,DistalPhalanxOutlineAgeGroup,WordsSynonyms,MiddlePhalanxTW,50words,ProximalPhalanxTW,Computers,Lighting7,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,MALLAT,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,FacesUCR,Wine,Coffee,Phoneme,50words,WordsSynonyms,Meat,HandOutlines,FaceAll,ECG5000,MALLAT,MedicalImages,uWaveGestureLibrary_Y,OliveOil,WormsTwoClass,Lighting7,Worms,ProximalPhalanxTW,ShapesAll,Cricket_X,MiddlePhalanxTW,CBF,Strawberry,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,synthetic_control,ChlorineConcentration,InsectWingbeatSound,MiddlePhalanxOutlineAgeGroup,Cricket_Y,uWaveGestureLibrary_X,Gun_Point,Cricket_Z,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,ElectricDevices,UWaveGestureLibraryAll,ProximalPhalanxOutlineCorrect,ScreenType,PhalangesOutlinesCorrect,InlineSkate,uWaveGestureLibrary_Z,Lighting2,LargeKitchenAppliances,Symbols,MiddlePhalanxOutlineCorrect,Ham,Two_Patterns,DistalPhalanxOutlineCorrect,SmallKitchenAppliances,RefrigerationDevices,Computers,ItalyPowerDemand,ECGFiveDays,Trace,FordA,SonyAIBORobotSurfaceII,wafer,TwoLeadECG,FordB,MoteStrain,OSULeaf,ECG200,SonyAIBORobotSurface,Adiac,ToeSegmentation1,SwedishLeaf,ToeSegmentation2,Car,DiatomSizeReduction,Earthquakes,FISH,Plane,ShapeletSim,yoga,BirdChicken,BeetleFly,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics
Beef,FacesUCR,ArrowHead,Coffee,Wine,Phoneme,50words,WordsSynonyms,Meat,FaceAll,ECG5000,HandOutlines,WormsTwoClass,uWaveGestureLibrary_Y,MALLAT,OliveOil,MedicalImages,Lighting7,Strawberry,ProximalPhalanxTW,ShapesAll,Worms,Cricket_X,MiddlePhalanxTW,CBF,synthetic_control,Gun_Point,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,InsectWingbeatSound,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,Cricket_Z,ProximalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,Cricket_Y,ScreenType,ElectricDevices,Lighting2,CinC_ECG_torso,InlineSkate,UWaveGestureLibraryAll,MiddlePhalanxOutlineCorrect,LargeKitchenAppliances,Ham,uWaveGestureLibrary_Z,DistalPhalanxOutlineCorrect,Symbols,Two_Patterns,RefrigerationDevices,Computers,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,FordA,Trace,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,MoteStrain,wafer,ECG200,SonyAIBORobotSurface,Adiac,OSULeaf,ToeSegmentation1,SwedishLeaf,Car,ToeSegmentation2,DiatomSizeReduction,FISH,Earthquakes,yoga,ShapeletSim,Plane,BirdChicken,BeetleFly,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring
BeetleFly,Adiac,SwedishLeaf,FISH,Cricket_Z,Cricket_X,Trace,OSULeaf,Phoneme,Cricket_Y,DiatomSizeReduction,Car,Symbols,synthetic_control,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,Plane,uWaveGestureLibrary_X,ShapeletSim,Worms,yoga,ElectricDevices,SmallKitchenAppliances,InlineSkate,FaceFour,NonInvasiveFatalECG_Thorax2,Two_Patterns,RefrigerationDevices,DistalPhalanxTW,FaceAll,InsectWingbeatSound,NonInvasiveFatalECG_Thorax1,ToeSegmentation2,FacesUCR,SonyAIBORobotSurface,ECG200,CinC_ECG_torso,ToeSegmentation1,MedicalImages,MiddlePhalanxTW,ProximalPhalanxTW,Lighting7,LargeKitchenAppliances,MoteStrain,WordsSynonyms,FordB,TwoLeadECG,50words,ScreenType,MALLAT,SonyAIBORobotSurfaceII,FordA,wafer,DistalPhalanxOutlineAgeGroup,ECG5000,ECGFiveDays,MiddlePhalanxOutlineAgeGroup,ItalyPowerDemand,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,OliveOil,CBF,Computers,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Beef,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Meat,Gun_Point,Strawberry,ArrowHead,WormsTwoClass,Coffee,Wine,HandOutlines,Haptics,ShapesAll,BirdChicken,Earthquakes
BirdChicken,Adiac,Cricket_Z,Cricket_X,Phoneme,Car,Trace,Cricket_Y,synthetic_control,OSULeaf,SwedishLeaf,uWaveGestureLibrary_Y,DiatomSizeReduction,FISH,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Worms,uWaveGestureLibrary_X,ElectricDevices,Symbols,SmallKitchenAppliances,yoga,ShapeletSim,Plane,InlineSkate,Two_Patterns,FacesUCR,CinC_ECG_torso,LargeKitchenAppliances,DistalPhalanxTW,FaceAll,InsectWingbeatSound,ToeSegmentation2,ScreenType,RefrigerationDevices,ToeSegmentation1,SonyAIBORobotSurface,ECG200,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,MedicalImages,ECG5000,MoteStrain,Lighting7,NonInvasiveFatalECG_Thorax2,MiddlePhalanxOutlineAgeGroup,NonInvasiveFatalECG_Thorax1,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,CBF,WordsSynonyms,50words,FordB,TwoLeadECG,FaceFour,SonyAIBORobotSurfaceII,wafer,MALLAT,FordA,OliveOil,ECGFiveDays,ItalyPowerDemand,Computers,Meat,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Beef,Lighting2,PhalangesOutlinesCorrect,ArrowHead,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine,HandOutlines,Haptics,ShapesAll,Herring,BeetleFly
CBF,50words,InsectWingbeatSound,MedicalImages,WordsSynonyms,Lighting7,Phoneme,MiddlePhalanxTW,Cricket_X,ProximalPhalanxTW,MALLAT,ChlorineConcentration,FaceAll,MiddlePhalanxOutlineAgeGroup,ShapesAll,uWaveGestureLibrary_X,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,OliveOil,uWaveGestureLibrary_Y,ScreenType,Cricket_Z,ElectricDevices,InlineSkate,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,FacesUCR,Lighting2,MiddlePhalanxOutlineCorrect,Ham,Gun_Point,Cricket_Y,UWaveGestureLibraryAll,DistalPhalanxOutlineCorrect,ECG5000,CinC_ECG_torso,LargeKitchenAppliances,uWaveGestureLibrary_Z,Symbols,Strawberry,RefrigerationDevices,Computers,Worms,synthetic_control,WormsTwoClass,Meat,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,FordA,Beef,SonyAIBORobotSurfaceII,TwoLeadECG,FordB,Trace,ArrowHead,MoteStrain,ECG200,Coffee,SonyAIBORobotSurface,Wine,wafer,ToeSegmentation1,OSULeaf,Adiac,ToeSegmentation2,HandOutlines,Earthquakes,DiatomSizeReduction,Car,FISH,ShapeletSim,yoga,Plane,BirdChicken,BeetleFly,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,Haptics,Two_Patterns
Car,Adiac,ShapesAll,Phoneme,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Symbols,Herring,yoga,synthetic_control,BirdChicken,Cricket_Z,BeetleFly,Plane,ShapeletSim,uWaveGestureLibrary_Y,Cricket_X,Trace,Cricket_Y,FaceFour,uWaveGestureLibrary_X,ElectricDevices,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,Worms,NonInvasiveFatalECG_Thorax1,RefrigerationDevices,ToeSegmentation2,SonyAIBORobotSurface,SmallKitchenAppliances,ECG200,ToeSegmentation1,FacesUCR,Two_Patterns,FordB,TwoLeadECG,InlineSkate,Earthquakes,CinC_ECG_torso,MoteStrain,FordA,LargeKitchenAppliances,DistalPhalanxTW,FaceAll,ECGFiveDays,SonyAIBORobotSurfaceII,InsectWingbeatSound,ItalyPowerDemand,ScreenType,ECG5000,Computers,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,wafer,MedicalImages,Lighting7,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ChlorineConcentration,Ham,CBF,WordsSynonyms,MiddlePhalanxOutlineCorrect,50words,Lighting2,PhalangesOutlinesCorrect,MALLAT,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,MedicalImages,MiddlePhalanxTW,Cricket_X,Ham,MiddlePhalanxOutlineAgeGroup,Lighting7,50words,WordsSynonyms,ProximalPhalanxTW,InsectWingbeatSound,MiddlePhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,Phoneme,FaceAll,CBF,DistalPhalanxOutlineAgeGroup,Lighting2,uWaveGestureLibrary_X,ShapesAll,DistalPhalanxOutlineCorrect,Cricket_Z,DistalPhalanxTW,PhalangesOutlinesCorrect,MALLAT,ProximalPhalanxOutlineCorrect,uWaveGestureLibrary_Y,ScreenType,OliveOil,ElectricDevices,FacesUCR,InlineSkate,RefrigerationDevices,Computers,UWaveGestureLibraryAll,Cricket_Y,CinC_ECG_torso,ECG5000,Gun_Point,LargeKitchenAppliances,Symbols,uWaveGestureLibrary_Z,ItalyPowerDemand,ECGFiveDays,Strawberry,synthetic_control,Two_Patterns,Worms,FordA,SmallKitchenAppliances,Meat,SonyAIBORobotSurfaceII,WormsTwoClass,TwoLeadECG,FordB,MoteStrain,Beef,ECG200,SonyAIBORobotSurface,ArrowHead,Trace,ToeSegmentation1,wafer,ToeSegmentation2,Coffee,Wine,OSULeaf,Adiac,Earthquakes,SwedishLeaf,HandOutlines,Car,DiatomSizeReduction,ShapeletSim,yoga,FISH,BirdChicken,BeetleFly,Plane,FaceFour,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
CinC_ECG_torso,50words,Phoneme,InlineSkate,Cricket_Y,ElectricDevices,MALLAT,WordsSynonyms,FaceAll,UWaveGestureLibraryAll,Two_Patterns,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,DistalPhalanxTW,LargeKitchenAppliances,ShapesAll,Cricket_Z,Cricket_X,InsectWingbeatSound,uWaveGestureLibrary_Y,Symbols,ScreenType,Lighting7,ProximalPhalanxTW,SmallKitchenAppliances,MedicalImages,FacesUCR,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Worms,ECG5000,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,CBF,OliveOil,synthetic_control,Ham,DistalPhalanxOutlineCorrect,Computers,Trace,MiddlePhalanxOutlineCorrect,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,Lighting2,FordA,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,TwoLeadECG,FordB,Gun_Point,Strawberry,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,Meat,MoteStrain,Adiac,OSULeaf,WormsTwoClass,Beef,ToeSegmentation1,SwedishLeaf,wafer,Car,DiatomSizeReduction,ToeSegmentation2,ArrowHead,FISH,Coffee,Wine,Plane,ShapeletSim,Earthquakes,yoga,HandOutlines,BirdChicken,BeetleFly,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring
