,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,ShapesAll,Phoneme,Adiac,Cricket_Y,Cricket_Z,Cricket_X,FaceAll,InsectWingbeatSound,FacesUCR,NonInvasiveFatalECG_Thorax2,SwedishLeaf,MedicalImages,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,UWaveGestureLibraryAll,NonInvasiveFatalECG_Thorax1,uWaveGestureLibrary_Y,InlineSkate,synthetic_control,DistalPhalanxTW,Lighting7,MiddlePhalanxTW,Worms,ProximalPhalanxTW,OSULeaf,Trace,Symbols,Beef,Two_Patterns,ECG5000,MALLAT,CinC_ECG_torso,Plane,Car,FISH,SmallKitchenAppliances,LargeKitchenAppliances,ScreenType,DiatomSizeReduction,ArrowHead,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,RefrigerationDevices,ProximalPhalanxOutlineAgeGroup,ShapeletSim,CBF,SonyAIBORobotSurface,FordA,ECG200,ToeSegmentation1,HandOutlines,ToeSegmentation2,ECGFiveDays,yoga,MoteStrain,ItalyPowerDemand,FordB,TwoLeadECG,SonyAIBORobotSurfaceII,Computers,Meat,OliveOil,BirdChicken,Coffee,Wine,DistalPhalanxOutlineCorrect,Ham,BeetleFly,MiddlePhalanxOutlineCorrect,wafer,Lighting2,Earthquakes,FaceFour,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,WormsTwoClass,Strawberry,Gun_Point,Haptics,Herring,WordsSynonyms
Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,ShapesAll,Phoneme,Cricket_Y,Cricket_Z,Cricket_X,50words,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,InsectWingbeatSound,InlineSkate,SwedishLeaf,uWaveGestureLibrary_X,Plane,FaceAll,uWaveGestureLibrary_Y,WordsSynonyms,MedicalImages,Two_Patterns,DistalPhalanxTW,Symbols,Trace,FaceFour,synthetic_control,Worms,CinC_ECG_torso,SmallKitchenAppliances,MiddlePhalanxTW,OSULeaf,Lighting7,ProximalPhalanxTW,LargeKitchenAppliances,FacesUCR,ScreenType,FISH,FordB,TwoLeadECG,SonyAIBORobotSurface,ECG200,FordA,DistalPhalanxOutlineAgeGroup,ECGFiveDays,ECG5000,ItalyPowerDemand,MoteStrain,ToeSegmentation1,ToeSegmentation2,RefrigerationDevices,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineAgeGroup,Computers,MALLAT,ChlorineConcentration,ShapeletSim,ProximalPhalanxOutlineAgeGroup,yoga,CBF,DistalPhalanxOutlineCorrect,BeetleFly,BirdChicken,DiatomSizeReduction,Earthquakes,Ham,MiddlePhalanxOutlineCorrect,Lighting2,wafer,Herring,Car,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Haptics,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ArrowHead,50words,ShapesAll,Phoneme,WordsSynonyms,Adiac,FaceAll,InsectWingbeatSound,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,MALLAT,FacesUCR,uWaveGestureLibrary_X,Lighting7,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,InlineSkate,ProximalPhalanxTW,MiddlePhalanxTW,DistalPhalanxTW,OliveOil,synthetic_control,SwedishLeaf,Worms,ECG5000,CinC_ECG_torso,Two_Patterns,Symbols,ChlorineConcentration,CBF,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Trace,ScreenType,NonInvasiveFatalECG_Thorax2,LargeKitchenAppliances,OSULeaf,SmallKitchenAppliances,NonInvasiveFatalECG_Thorax1,RefrigerationDevices,Gun_Point,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Strawberry,Lighting2,MiddlePhalanxOutlineCorrect,Ham,Meat,DistalPhalanxOutlineCorrect,Computers,Car,ECGFiveDays,ItalyPowerDemand,SonyAIBORobotSurfaceII,FordA,WormsTwoClass,MoteStrain,wafer,FISH,Plane,DiatomSizeReduction,ToeSegmentation1,SonyAIBORobotSurface,ECG200,FordB,TwoLeadECG,ToeSegmentation2,ShapeletSim,yoga,Earthquakes,BirdChicken,HandOutlines,BeetleFly,Beef,FaceFour,Haptics,Herring,Coffee,Wine
Beef,50words,ShapesAll,Phoneme,WordsSynonyms,Adiac,FaceAll,Cricket_X,InsectWingbeatSound,Cricket_Y,Cricket_Z,MedicalImages,MALLAT,FacesUCR,uWaveGestureLibrary_X,Lighting7,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,InlineSkate,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxTW,SwedishLeaf,synthetic_control,Worms,OliveOil,CinC_ECG_torso,ECG5000,Two_Patterns,Symbols,ChlorineConcentration,Trace,CBF,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,NonInvasiveFatalECG_Thorax2,DistalPhalanxOutlineAgeGroup,ScreenType,LargeKitchenAppliances,OSULeaf,SmallKitchenAppliances,NonInvasiveFatalECG_Thorax1,RefrigerationDevices,Gun_Point,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Ham,PhalangesOutlinesCorrect,Lighting2,DistalPhalanxOutlineCorrect,Strawberry,Car,Computers,ECGFiveDays,ItalyPowerDemand,SonyAIBORobotSurfaceII,FordA,MoteStrain,Plane,FISH,DiatomSizeReduction,Meat,ToeSegmentation1,SonyAIBORobotSurface,wafer,ECG200,FordB,TwoLeadECG,ToeSegmentation2,WormsTwoClass,HandOutlines,ShapeletSim,yoga,Earthquakes,BirdChicken,BeetleFly,ArrowHead,FaceFour,Herring,Haptics,Wine,Coffee
BeetleFly,NonInvasiveFatalECG_Thorax2,Phoneme,NonInvasiveFatalECG_Thorax1,50words,Adiac,WordsSynonyms,Cricket_Y,InsectWingbeatSound,Cricket_Z,ShapesAll,Cricket_X,FaceAll,SwedishLeaf,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,uWaveGestureLibrary_X,MedicalImages,uWaveGestureLibrary_Y,DistalPhalanxTW,Plane,FacesUCR,Symbols,Lighting7,Two_Patterns,MiddlePhalanxTW,ProximalPhalanxTW,OSULeaf,synthetic_control,MALLAT,CinC_ECG_torso,FISH,Worms,LargeKitchenAppliances,FaceFour,ScreenType,SmallKitchenAppliances,ECG5000,Trace,DistalPhalanxOutlineAgeGroup,Car,TwoLeadECG,FordB,MiddlePhalanxOutlineAgeGroup,DiatomSizeReduction,RefrigerationDevices,FordA,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,ECGFiveDays,ECG200,ItalyPowerDemand,SonyAIBORobotSurface,CBF,Computers,ToeSegmentation2,OliveOil,ToeSegmentation1,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,MoteStrain,Ham,MiddlePhalanxOutlineCorrect,yoga,ShapeletSim,Lighting2,Haptics,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,wafer,Beef,Gun_Point,Meat,Strawberry,WormsTwoClass,BirdChicken,ArrowHead,Coffee,Wine,HandOutlines,Earthquakes,Herring
BirdChicken,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,50words,Adiac,WordsSynonyms,Cricket_Y,SwedishLeaf,InsectWingbeatSound,Cricket_X,FaceAll,Cricket_Z,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,ShapesAll,InlineSkate,uWaveGestureLibrary_X,MedicalImages,uWaveGestureLibrary_Y,Plane,DistalPhalanxTW,Symbols,Lighting7,FacesUCR,Two_Patterns,MiddlePhalanxTW,ProximalPhalanxTW,FISH,OSULeaf,MALLAT,CinC_ECG_torso,synthetic_control,Worms,LargeKitchenAppliances,FaceFour,ScreenType,SmallKitchenAppliances,ECG5000,Trace,DistalPhalanxOutlineAgeGroup,RefrigerationDevices,TwoLeadECG,FordB,MiddlePhalanxOutlineAgeGroup,DiatomSizeReduction,FordA,ChlorineConcentration,Car,ECGFiveDays,ItalyPowerDemand,ProximalPhalanxOutlineAgeGroup,ECG200,SonyAIBORobotSurface,CBF,Computers,OliveOil,ToeSegmentation2,DistalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,ToeSegmentation1,MoteStrain,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ShapeletSim,PhalangesOutlinesCorrect,Haptics,yoga,ProximalPhalanxOutlineCorrect,wafer,Gun_Point,Beef,Meat,Strawberry,WormsTwoClass,ArrowHead,Coffee,Wine,BeetleFly,Herring,HandOutlines,Earthquakes
CBF,ShapesAll,50words,Phoneme,Adiac,WordsSynonyms,FacesUCR,Cricket_Y,Cricket_Z,FaceAll,Cricket_X,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,InsectWingbeatSound,uWaveGestureLibrary_X,InlineSkate,MedicalImages,synthetic_control,Beef,MALLAT,Worms,DistalPhalanxTW,OSULeaf,Trace,Lighting7,Symbols,ECG5000,Plane,ProximalPhalanxTW,CinC_ECG_torso,MiddlePhalanxTW,FISH,Car,ArrowHead,SmallKitchenAppliances,Meat,DiatomSizeReduction,LargeKitchenAppliances,ScreenType,OliveOil,ShapeletSim,SonyAIBORobotSurface,ECG200,Coffee,HandOutlines,Wine,yoga,ToeSegmentation2,FordA,FordB,TwoLeadECG,RefrigerationDevices,ToeSegmentation1,DistalPhalanxOutlineAgeGroup,WormsTwoClass,ECGFiveDays,BirdChicken,wafer,MoteStrain,ItalyPowerDemand,BeetleFly,SonyAIBORobotSurfaceII,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,FaceFour,MiddlePhalanxOutlineAgeGroup,Computers,Strawberry,PhalangesOutlinesCorrect,DistalPhalanxOutlineCorrect,Gun_Point,ProximalPhalanxOutlineCorrect,Lighting2,Ham,MiddlePhalanxOutlineCorrect,Earthquakes,Herring,Haptics,SwedishLeaf,Two_Patterns
Car,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,ShapesAll,Phoneme,Cricket_Y,Cricket_Z,Cricket_X,uWaveGestureLibrary_Z,50words,UWaveGestureLibraryAll,InsectWingbeatSound,SwedishLeaf,Adiac,InlineSkate,uWaveGestureLibrary_X,Plane,FaceAll,uWaveGestureLibrary_Y,WordsSynonyms,MedicalImages,Two_Patterns,DistalPhalanxTW,Symbols,FaceFour,Trace,synthetic_control,Worms,CinC_ECG_torso,MiddlePhalanxTW,SmallKitchenAppliances,ProximalPhalanxTW,LargeKitchenAppliances,Lighting7,OSULeaf,FISH,ScreenType,FacesUCR,TwoLeadECG,FordB,SonyAIBORobotSurface,ECG200,FordA,DistalPhalanxOutlineAgeGroup,ECGFiveDays,ItalyPowerDemand,ECG5000,RefrigerationDevices,MoteStrain,ToeSegmentation1,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineAgeGroup,ToeSegmentation2,Computers,ChlorineConcentration,MALLAT,ProximalPhalanxOutlineAgeGroup,ShapeletSim,DistalPhalanxOutlineCorrect,CBF,yoga,BeetleFly,Earthquakes,Ham,BirdChicken,DiatomSizeReduction,MiddlePhalanxOutlineCorrect,Herring,Lighting2,wafer,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Haptics,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,ShapesAll,50words,Phoneme,Adiac,WordsSynonyms,FacesUCR,Cricket_Y,Cricket_Z,FaceAll,Cricket_X,uWaveGestureLibrary_Z,SwedishLeaf,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,MALLAT,uWaveGestureLibrary_X,InlineSkate,InsectWingbeatSound,NonInvasiveFatalECG_Thorax2,Beef,synthetic_control,Worms,NonInvasiveFatalECG_Thorax1,DistalPhalanxTW,Trace,OSULeaf,Two_Patterns,MedicalImages,ECG5000,Lighting7,CinC_ECG_torso,Symbols,OliveOil,ProximalPhalanxTW,ArrowHead,Car,Meat,SmallKitchenAppliances,Plane,FISH,LargeKitchenAppliances,DiatomSizeReduction,MiddlePhalanxTW,ScreenType,Coffee,Wine,SonyAIBORobotSurface,ShapeletSim,ECG200,HandOutlines,FordB,WormsTwoClass,TwoLeadECG,wafer,yoga,FordA,ToeSegmentation2,ToeSegmentation1,Strawberry,ECGFiveDays,BirdChicken,ItalyPowerDemand,Gun_Point,MoteStrain,DistalPhalanxOutlineAgeGroup,BeetleFly,RefrigerationDevices,CBF,ProximalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,Computers,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,FaceFour,Earthquakes,MiddlePhalanxOutlineAgeGroup,Herring,DistalPhalanxOutlineCorrect,Haptics,Lighting2,MiddlePhalanxOutlineCorrect,Ham
CinC_ECG_torso,ShapesAll,50words,Phoneme,Adiac,WordsSynonyms,FaceAll,Cricket_X,Cricket_Z,Cricket_Y,InsectWingbeatSound,FacesUCR,MedicalImages,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,MALLAT,Lighting7,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,synthetic_control,MiddlePhalanxTW,ProximalPhalanxTW,InlineSkate,DistalPhalanxTW,NonInvasiveFatalECG_Thorax2,Trace,Worms,NonInvasiveFatalECG_Thorax1,Beef,OSULeaf,Symbols,OliveOil,ECG5000,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Car,DistalPhalanxOutlineAgeGroup,Two_Patterns,Plane,FISH,ScreenType,DiatomSizeReduction,Meat,SmallKitchenAppliances,RefrigerationDevices,SonyAIBORobotSurfaceII,Lighting2,MoteStrain,ShapeletSim,MiddlePhalanxOutlineCorrect,PhalangesOutlinesCorrect,Ham,yoga,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,ArrowHead,LargeKitchenAppliances,wafer,SonyAIBORobotSurface,BirdChicken,ToeSegmentation1,ECG200,Gun_Point,Computers,WormsTwoClass,ToeSegmentation2,Strawberry,BeetleFly,ItalyPowerDemand,ECGFiveDays,Coffee,Earthquakes,FordB,TwoLeadECG,Wine,FordA,HandOutlines,FaceFour,Herring,Haptics
