,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,Phoneme,FaceAll,MedicalImages,InsectWingbeatSound,FacesUCR,ShapesAll,Cricket_X,MALLAT,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,uWaveGestureLibrary_X,Cricket_Y,DistalPhalanxTW,uWaveGestureLibrary_Y,Cricket_Z,InlineSkate,Beef,OliveOil,UWaveGestureLibraryAll,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,ECG5000,uWaveGestureLibrary_Z,CBF,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,synthetic_control,CinC_ECG_torso,Meat,ScreenType,Ham,ArrowHead,MiddlePhalanxOutlineCorrect,Worms,Lighting2,PhalangesOutlinesCorrect,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,Strawberry,WormsTwoClass,LargeKitchenAppliances,Gun_Point,RefrigerationDevices,Symbols,Computers,Two_Patterns,Coffee,Wine,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,HandOutlines,SmallKitchenAppliances,Adiac,wafer,MoteStrain,FordA,Earthquakes,ToeSegmentation1,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,yoga,BeetleFly,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,FaceFour,WordsSynonyms
Adiac,ShapesAll,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Cricket_Z,Cricket_Y,Plane,Cricket_X,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,FISH,Trace,synthetic_control,OSULeaf,uWaveGestureLibrary_Y,FaceFour,Symbols,uWaveGestureLibrary_X,Worms,InlineSkate,DiatomSizeReduction,Two_Patterns,yoga,SmallKitchenAppliances,ShapeletSim,SonyAIBORobotSurface,Car,ECG200,BeetleFly,BirdChicken,FacesUCR,ToeSegmentation2,ToeSegmentation1,Herring,FordB,TwoLeadECG,CinC_ECG_torso,MoteStrain,wafer,SonyAIBORobotSurfaceII,InsectWingbeatSound,DistalPhalanxTW,LargeKitchenAppliances,FaceAll,FordA,Earthquakes,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,Haptics,MedicalImages,DistalPhalanxOutlineAgeGroup,Computers,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,DistalPhalanxOutlineCorrect,50words,MiddlePhalanxOutlineAgeGroup,WordsSynonyms,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ArrowHead,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,MedicalImages,Lighting7,OliveOil,ShapesAll,InsectWingbeatSound,ProximalPhalanxTW,Cricket_X,MiddlePhalanxTW,uWaveGestureLibrary_Y,Meat,Strawberry,DistalPhalanxTW,Cricket_Y,WormsTwoClass,ECG5000,Worms,Gun_Point,CBF,uWaveGestureLibrary_X,ProximalPhalanxOutlineAgeGroup,Cricket_Z,Beef,synthetic_control,HandOutlines,CinC_ECG_torso,ChlorineConcentration,ProximalPhalanxOutlineCorrect,UWaveGestureLibraryAll,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,wafer,InlineSkate,Lighting2,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,Symbols,LargeKitchenAppliances,Computers,Coffee,SonyAIBORobotSurfaceII,Wine,Two_Patterns,ItalyPowerDemand,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour
Beef,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,MedicalImages,Lighting7,OliveOil,ShapesAll,InsectWingbeatSound,Cricket_X,ProximalPhalanxTW,MiddlePhalanxTW,uWaveGestureLibrary_Y,Meat,DistalPhalanxTW,Cricket_Y,Strawberry,Worms,WormsTwoClass,HandOutlines,uWaveGestureLibrary_X,CBF,Gun_Point,ECG5000,Cricket_Z,ProximalPhalanxOutlineAgeGroup,CinC_ECG_torso,synthetic_control,ChlorineConcentration,UWaveGestureLibraryAll,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,uWaveGestureLibrary_Z,InlineSkate,wafer,Lighting2,DistalPhalanxOutlineAgeGroup,ArrowHead,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,LargeKitchenAppliances,Symbols,Computers,Wine,SonyAIBORobotSurfaceII,Two_Patterns,ItalyPowerDemand,Coffee,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour
BeetleFly,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,Plane,InlineSkate,OSULeaf,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,Two_Patterns,synthetic_control,Symbols,Worms,Trace,InsectWingbeatSound,Car,FISH,CinC_ECG_torso,DiatomSizeReduction,SmallKitchenAppliances,FaceAll,FaceFour,DistalPhalanxTW,FordB,yoga,TwoLeadECG,SonyAIBORobotSurface,ECG200,ToeSegmentation2,LargeKitchenAppliances,ShapeletSim,FordA,FacesUCR,ToeSegmentation1,50words,MedicalImages,ECGFiveDays,ItalyPowerDemand,wafer,SonyAIBORobotSurfaceII,ECG5000,ScreenType,RefrigerationDevices,MoteStrain,WordsSynonyms,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,Lighting7,Computers,Haptics,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,ShapesAll,HandOutlines,BirdChicken,Earthquakes,Herring
BirdChicken,Adiac,Phoneme,NonInvasiveFatalECG_Thorax2,SwedishLeaf,Cricket_Y,NonInvasiveFatalECG_Thorax1,Cricket_Z,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,Plane,OSULeaf,InlineSkate,Two_Patterns,Symbols,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,FISH,synthetic_control,Trace,Worms,DiatomSizeReduction,Car,InsectWingbeatSound,CinC_ECG_torso,SmallKitchenAppliances,SonyAIBORobotSurface,FordB,TwoLeadECG,ECG200,FaceAll,FaceFour,DistalPhalanxTW,yoga,ShapeletSim,LargeKitchenAppliances,ToeSegmentation2,FordA,FacesUCR,ToeSegmentation1,50words,MedicalImages,SonyAIBORobotSurfaceII,ECGFiveDays,RefrigerationDevices,ItalyPowerDemand,ScreenType,ECG5000,MoteStrain,WordsSynonyms,wafer,MiddlePhalanxTW,ProximalPhalanxTW,Lighting7,DistalPhalanxOutlineAgeGroup,Computers,Haptics,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,ShapesAll,HandOutlines,Herring,BeetleFly,Earthquakes
CBF,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MedicalImages,Cricket_X,FacesUCR,MALLAT,Lighting7,uWaveGestureLibrary_X,Cricket_Y,MiddlePhalanxTW,ProximalPhalanxTW,InlineSkate,DistalPhalanxTW,Cricket_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,ChlorineConcentration,ScreenType,OliveOil,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ECG5000,CinC_ECG_torso,ProximalPhalanxOutlineAgeGroup,LargeKitchenAppliances,PhalangesOutlinesCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,synthetic_control,Worms,RefrigerationDevices,Computers,Meat,Symbols,Gun_Point,ECGFiveDays,Beef,Strawberry,WormsTwoClass,ItalyPowerDemand,SmallKitchenAppliances,FordA,SonyAIBORobotSurfaceII,MoteStrain,ToeSegmentation1,wafer,TwoLeadECG,FordB,Adiac,Earthquakes,ArrowHead,ToeSegmentation2,Trace,ECG200,SonyAIBORobotSurface,Coffee,Wine,OSULeaf,HandOutlines,ShapeletSim,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,FaceFour,Two_Patterns,SwedishLeaf
Car,ShapesAll,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,SwedishLeaf,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,Plane,Cricket_X,FISH,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Trace,OSULeaf,synthetic_control,uWaveGestureLibrary_Y,Symbols,FaceFour,uWaveGestureLibrary_X,Worms,InlineSkate,DiatomSizeReduction,Two_Patterns,SmallKitchenAppliances,yoga,SonyAIBORobotSurface,BeetleFly,ShapeletSim,ECG200,Herring,BirdChicken,FacesUCR,FordB,TwoLeadECG,CinC_ECG_torso,ToeSegmentation2,ToeSegmentation1,MoteStrain,InsectWingbeatSound,DistalPhalanxTW,wafer,SonyAIBORobotSurfaceII,RefrigerationDevices,Earthquakes,LargeKitchenAppliances,FaceAll,FordA,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,Haptics,MedicalImages,DistalPhalanxOutlineAgeGroup,Computers,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,50words,CBF,WordsSynonyms,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MALLAT,Cricket_X,MedicalImages,Lighting7,uWaveGestureLibrary_X,ProximalPhalanxTW,FacesUCR,DistalPhalanxTW,InlineSkate,Cricket_Y,MiddlePhalanxTW,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_Z,OliveOil,uWaveGestureLibrary_Z,ScreenType,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,ECG5000,CBF,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,LargeKitchenAppliances,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,Computers,Gun_Point,Symbols,Worms,Two_Patterns,ItalyPowerDemand,MiddlePhalanxOutlineCorrect,ECGFiveDays,Lighting2,DistalPhalanxOutlineCorrect,Strawberry,MoteStrain,synthetic_control,SmallKitchenAppliances,FordA,RefrigerationDevices,Earthquakes,Ham,SonyAIBORobotSurfaceII,Beef,ToeSegmentation1,Meat,WormsTwoClass,TwoLeadECG,FordB,wafer,ToeSegmentation2,Adiac,ECG200,Trace,SonyAIBORobotSurface,ArrowHead,OSULeaf,Coffee,Wine,ShapeletSim,SwedishLeaf,HandOutlines,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1,FaceFour
CinC_ECG_torso,50words,Phoneme,ShapesAll,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,uWaveGestureLibrary_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,Lighting7,MiddlePhalanxTW,uWaveGestureLibrary_Y,DistalPhalanxTW,ProximalPhalanxTW,FacesUCR,Two_Patterns,MALLAT,ScreenType,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,synthetic_control,Symbols,Worms,Trace,ProximalPhalanxOutlineAgeGroup,ECG5000,LargeKitchenAppliances,CBF,SmallKitchenAppliances,DistalPhalanxOutlineCorrect,Computers,ItalyPowerDemand,ECGFiveDays,Ham,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,RefrigerationDevices,SonyAIBORobotSurface,MoteStrain,FordA,Lighting2,ECG200,TwoLeadECG,FordB,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Earthquakes,ToeSegmentation1,Adiac,ToeSegmentation2,Meat,OSULeaf,Gun_Point,ShapeletSim,Beef,WormsTwoClass,Strawberry,BeetleFly,wafer,BirdChicken,yoga,ArrowHead,Coffee,SwedishLeaf,Wine,Plane,Car,DiatomSizeReduction,HandOutlines,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour
